***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Relatorio das violacoes na rede para cada em cada iteracao.
  
----;----;----;----;----;-;-----;--------;-------------;----------;-------------;---;---------;----------;----------;----------;----------;
    ;    ;    ;    ;    ; ;     ;  num   ;   nome      ;          ;             ;   ;LInf (MW); LSup(MW) ;          ;          ;          ;
ITER;IPER;NVOL;IDES;REST;V;-----;--------;-------------;----------;-------------;---;---------;--------- ;  Fluxo   ;       Desvio        ;
    ;    ;    ;    ;    ; ;TpCir;Barra de;   nome      ;Barra para;   nome      ;cir;    -    ; Capac(MW);   (MW)   ;    (MW)  ;    %     ;
----;----;----;----;----;-;-----;--------;-------------;----------;-------------;---;---------;----------;----------;----------;----------;
  1 ; 13 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  518.052 ;  118.052 ;    29.51 ;
  1 ; 13 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  400.000 ; -480.286 ;   80.286 ;    20.07 ;
  1 ; 13 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  400.000 ;  618.142 ;  218.142 ;    54.54 ;
  1 ; 14 ;  0 ;  F ;CIRC; ; MLH ;    14  ;    BARRA14  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ; -475.767 ;   75.767 ;    18.94 ;
  1 ; 14 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  677.188 ;  277.188 ;    69.30 ;
  1 ; 14 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  400.000 ; -654.316 ;  254.316 ;    63.58 ;
  1 ; 14 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  400.000 ;  821.658 ;  421.658 ;   105.41 ;
  1 ; 14 ;  0 ;  F ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -429.316 ;   29.316 ;     7.33 ;
  1 ; 15 ;  0 ;  F ;CIRC; ; MLH ;    14  ;    BARRA14  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ; -447.202 ;   47.202 ;    11.80 ;
  1 ; 15 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  677.720 ;  277.720 ;    69.43 ;
  1 ; 15 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  400.000 ; -674.720 ;  274.720 ;    68.68 ;
  1 ; 15 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  400.000 ;  783.799 ;  383.799 ;    95.95 ;
  1 ; 15 ;  0 ;  F ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -435.474 ;   35.474 ;     8.87 ;
  1 ; 16 ;  0 ;  F ;CIRC; ; MLH ;    14  ;    BARRA14  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ; -504.611 ;  104.611 ;    26.15 ;
  1 ; 16 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  623.930 ;  223.930 ;    55.98 ;
  1 ; 16 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  400.000 ; -638.076 ;  238.076 ;    59.52 ;
  1 ; 16 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  400.000 ;  857.750 ;  457.750 ;   114.44 ;
  1 ; 16 ;  0 ;  F ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -443.430 ;   43.430 ;    10.86 ;
  1 ; 17 ;  0 ;  F ;CIRC; ; MLH ;    14  ;    BARRA14  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ; -532.595 ;  132.595 ;    33.15 ;
  1 ; 17 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  624.153 ;  224.153 ;    56.04 ;
  1 ; 17 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  400.000 ; -668.563 ;  268.563 ;    67.14 ;
  1 ; 17 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  400.000 ;  894.023 ;  494.023 ;   123.51 ;
  1 ; 17 ;  0 ;  F ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -502.369 ;  102.369 ;    25.59 ;
  1 ; 18 ;  0 ;  F ;CIRC; ; MLH ;    14  ;    BARRA14  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ; -540.906 ;  140.906 ;    35.23 ;
  1 ; 18 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  627.116 ;  227.116 ;    56.78 ;
  1 ; 18 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  400.000 ; -673.652 ;  273.652 ;    68.41 ;
  1 ; 18 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  400.000 ;  897.084 ;  497.084 ;   124.27 ;
  1 ; 18 ;  0 ;  F ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -501.961 ;  101.961 ;    25.49 ;
  1 ; 19 ;  0 ;  F ;CIRC; ; MLH ;    14  ;    BARRA14  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ; -661.514 ;  261.514 ;    65.38 ;
  1 ; 19 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  694.458 ;  294.458 ;    73.61 ;
  1 ; 19 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  400.000 ; -855.804 ;  455.804 ;   113.95 ;
  1 ; 19 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  400.000 ; 1015.307 ;  615.307 ;   153.83 ;
  1 ; 19 ;  0 ;  F ;CIRC; ; MLH ;    17  ;    BARRA17  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -549.324 ;  149.324 ;    37.33 ;
  1 ; 19 ;  0 ;  F ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -722.128 ;  322.128 ;    80.53 ;
  1 ; 20 ;  0 ;  F ;CIRC; ; MLH ;    14  ;    BARRA14  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ; -753.016 ;  353.016 ;    88.25 ;
  1 ; 20 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  734.273 ;  334.273 ;    83.57 ;
  1 ; 20 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      21  ;    BARRA21  ; 1 ;     -   ;  400.000 ; -457.029 ;   57.029 ;    14.26 ;
  1 ; 20 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      21  ;    BARRA21  ; 2 ;     -   ;  400.000 ; -457.029 ;   57.029 ;    14.26 ;
  1 ; 20 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  400.000 ; -995.091 ;  595.091 ;   148.77 ;
  1 ; 20 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  400.000 ; 1079.339 ;  679.339 ;   169.83 ;
  1 ; 20 ;  0 ;  F ;CIRC; ; MLH ;    17  ;    BARRA17  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -600.986 ;  200.986 ;    50.25 ;
  1 ; 20 ;  0 ;  F ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -795.860 ;  395.860 ;    98.97 ;
  1 ; 21 ;  0 ;  F ;CIRC; ; MLH ;     3  ;    BARRA03  ;      24  ;    BARRA24  ; 1 ;     -   ;  450.000 ; -456.652 ;    6.652 ;     1.48 ;
  1 ; 21 ;  0 ;  F ;CIRC; ; MLH ;    14  ;    BARRA14  ;      16  ;    BARRA16  ; 1 ;     -   ;  450.000 ; -922.060 ;  472.060 ;   104.90 ;
  1 ; 21 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  450.000 ;  610.847 ;  160.847 ;    35.74 ;
  1 ; 21 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      21  ;    BARRA21  ; 1 ;     -   ;  450.000 ; -524.442 ;   74.442 ;    16.54 ;
  1 ; 21 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      21  ;    BARRA21  ; 2 ;     -   ;  450.000 ; -524.442 ;   74.442 ;    16.54 ;
  1 ; 21 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      24  ;    BARRA24  ; 1 ;     -   ;  450.000 ;  456.652 ;    6.652 ;     1.48 ;
  1 ; 21 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  450.000 ;-1059.036 ;  609.036 ;   135.34 ;
  1 ; 21 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  450.000 ; 1066.184 ;  616.184 ;   136.93 ;
  1 ; 21 ;  0 ;  F ;CIRC; ; MLH ;    17  ;    BARRA17  ;      22  ;    BARRA22  ; 1 ;     -   ;  450.000 ; -643.661 ;  193.661 ;    43.04 ;
  1 ; 21 ;  0 ;  F ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  450.000 ; -869.339 ;  419.339 ;    93.19 ;
  1 ; 22 ;  0 ;  F ;CIRC; ; MLH ;     3  ;    BARRA03  ;      24  ;    BARRA24  ; 1 ;     -   ;  400.000 ; -472.674 ;   72.674 ;    18.17 ;
  1 ; 22 ;  0 ;  F ;CIRC; ; MLH ;    14  ;    BARRA14  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ; -921.666 ;  521.666 ;   130.42 ;
  1 ; 22 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  629.602 ;  229.602 ;    57.40 ;
  1 ; 22 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      21  ;    BARRA21  ; 1 ;     -   ;  400.000 ; -522.905 ;  122.905 ;    30.73 ;
  1 ; 22 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      21  ;    BARRA21  ; 2 ;     -   ;  400.000 ; -522.905 ;  122.905 ;    30.73 ;
  1 ; 22 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      24  ;    BARRA24  ; 1 ;     -   ;  400.000 ;  472.674 ;   72.674 ;    18.17 ;
  1 ; 22 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  400.000 ;-1065.167 ;  665.167 ;   166.29 ;
  1 ; 22 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  400.000 ; 1103.477 ;  703.477 ;   175.87 ;
  1 ; 22 ;  0 ;  F ;CIRC; ; MLH ;    17  ;    BARRA17  ;      18  ;    BARRA18  ; 1 ;     -   ;  400.000 ; -425.087 ;   25.087 ;     6.27 ;
  1 ; 22 ;  0 ;  F ;CIRC; ; MLH ;    17  ;    BARRA17  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -640.080 ;  240.080 ;    60.02 ;
  1 ; 22 ;  0 ;  F ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -862.445 ;  462.445 ;   115.61 ;
  1 ; 23 ;  0 ;  F ;CIRC; ; MLH ;     3  ;    BARRA03  ;      24  ;    BARRA24  ; 1 ;     -   ;  400.000 ; -446.561 ;   46.561 ;    11.64 ;
  1 ; 23 ;  0 ;  F ;CIRC; ; MLH ;    14  ;    BARRA14  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ; -858.632 ;  458.632 ;   114.66 ;
  1 ; 23 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  629.677 ;  229.677 ;    57.42 ;
  1 ; 23 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      21  ;    BARRA21  ; 1 ;     -   ;  400.000 ; -455.909 ;   55.909 ;    13.98 ;
  1 ; 23 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      21  ;    BARRA21  ; 2 ;     -   ;  400.000 ; -455.909 ;   55.909 ;    13.98 ;
  1 ; 23 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      24  ;    BARRA24  ; 1 ;     -   ;  400.000 ;  446.561 ;   46.561 ;    11.64 ;
  1 ; 23 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  400.000 ; -945.792 ;  545.792 ;   136.45 ;
  1 ; 23 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  400.000 ; 1016.096 ;  616.096 ;   154.02 ;
  1 ; 23 ;  0 ;  F ;CIRC; ; MLH ;    17  ;    BARRA17  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -597.698 ;  197.698 ;    49.42 ;
  1 ; 23 ;  0 ;  F ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -799.420 ;  399.420 ;    99.85 ;
  1 ; 24 ;  0 ;  F ;CIRC; ; MLH ;    14  ;    BARRA14  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ; -747.287 ;  347.287 ;    86.82 ;
  1 ; 24 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  673.413 ;  273.413 ;    68.35 ;
  1 ; 24 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      21  ;    BARRA21  ; 1 ;     -   ;  400.000 ; -487.874 ;   87.874 ;    21.97 ;
  1 ; 24 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      21  ;    BARRA21  ; 2 ;     -   ;  400.000 ; -487.874 ;   87.874 ;    21.97 ;
