-----;--------;------;---------------;--------;--------;----------;--------;---------;----------;---------;---------;-----;----------------;
   2 ; USIH   ;    24; EMBORCACAO    ;    2   ; QDEF   ;HIDRLIM   ;  10024 ;     1.00;  (m3/s)  ;    51.00;     -   ; NAO ; OPERUH (RQ)    ;
   2 ; USIH   ;    25; NOVA PONTE    ;    2   ; QDEF   ;HIDRLIM   ;  10025 ;     1.00;  (m3/s)  ;    40.00;     -   ; NAO ; OPERUH (RQ)    ;
   2 ; USIH   ;    26; MIRANDA       ;    2   ; QDEF   ;HIDRLIM   ;  10026 ;     1.00;  (m3/s)  ;    42.00;     -   ; NAO ; OPERUH (RQ)    ;
   2 ; USIH   ;    30; CORUMBA I     ;    2   ; QDEF   ;HIDRLIM   ;  10030 ;     1.00;  (m3/s)  ;    74.00;     -   ; NAO ; OPERUH (RQ)    ;
   2 ; USIH   ;    31; ITUMBIARA     ;    2   ; QDEF   ;HIDRLIM   ;  10031 ;     1.00;  (m3/s)  ;   233.00;     -   ; NAO ; OPERUH (RQ)    ;
   2 ; USIH   ;    32; CACH.DOURADA  ;    2   ; QDEF   ;HIDRLIM   ;  10032 ;     1.00;  (m3/s)  ;   254.00;     -   ; NAO ; OPERUH (RQ)    ;
   2 ; USIH   ;    33; SAO SIMAO     ;    2   ; QDEF   ;HIDRLIM   ;  10033 ;     1.00;  (m3/s)  ;   450.00;     -   ; NAO ; OPERUH (RQ)    ;
   3 ; USIT   ;     1; ANGRA 1       ;    3   ; GTER   ;TERMLIM   ;      1 ;     1.00;   (MW)   ;     0.00;   657.00; NAO ; Reg. UT        ;
   3 ; USIT   ;     2; IGARAPE       ;    3   ; GTER   ;TERMLIM   ;      2 ;     1.00;   (MW)   ;     0.00;   131.00; NAO ; Reg. UT        ;
   3 ; USIT   ;     3; ST.CRUZ 12    ;    3   ; GTER   ;TERMLIM   ;      3 ;     1.00;   (MW)   ;     0.00;    84.00; NAO ; Reg. UT        ;
   3 ; USIT   ;    50; PIRAT.12 G    ;    3   ; GTER   ;TERMLIM   ;     50 ;     1.00;   (MW)   ;     0.00;   200.00; NAO ; Reg. UT        ;
   3 ; USIT   ;     4; ST.CRUZ 34    ;    3   ; GTER   ;TERMLIM   ;      4 ;     1.00;   (MW)   ;     0.00;   220.00; NAO ; Reg. UT        ;
   3 ; USIH   ;     6; FURNAS        ;    3   ; QDEF   ;HIDRLIM   ;  10006 ;     1.00;  (m3/s)  ;   102.00;     -   ; NAO ; OPERUH (RQ)    ;
   3 ; USIH   ;     7; M. DE MORAES  ;    3   ; QDEF   ;HIDRLIM   ;  10007 ;     1.00;  (m3/s)  ;  1100.00;     -   ; NAO ; OPERUH (RQ)    ;
   3 ; USIH   ;     8; ESTREITO      ;    3   ; QDEF   ;HIDRLIM   ;  10008 ;     1.00;  (m3/s)  ;   115.00;     -   ; NAO ; OPERUH (RQ)    ;
   3 ; USIH   ;    10; IGARAPAVA     ;    3   ; QDEF   ;HIDRLIM   ;  10010 ;     1.00;  (m3/s)  ;   119.00;     -   ; NAO ; OPERUH (RQ)    ;
   3 ; USIH   ;    14; CACONDE       ;    3   ; QDEF   ;HIDRLIM   ;  10014 ;     1.00;  (m3/s)  ;     8.00;     -   ; NAO ; OPERUH (RQ)    ;
   3 ; USIH   ;    15; E. DA CUNHA   ;    3   ; QDEF   ;HIDRLIM   ;  10015 ;     1.00;  (m3/s)  ;    12.00;     -   ; NAO ; OPERUH (RQ)    ;
   3 ; USIH   ;    16; A.S.OLIVEIRA  ;    3   ; QDEF   ;HIDRLIM   ;  10016 ;     1.00;  (m3/s)  ;    12.00;     -   ; NAO ; OPERUH (RQ)    ;
   3 ; USIH   ;    24; EMBORCACAO    ;    3   ; QDEF   ;HIDRLIM   ;  10024 ;     1.00;  (m3/s)  ;    51.00;     -   ; NAO ; OPERUH (RQ)    ;
   3 ; USIH   ;    25; NOVA PONTE    ;    3   ; QDEF   ;HIDRLIM   ;  10025 ;     1.00;  (m3/s)  ;    40.00;     -   ; NAO ; OPERUH (RQ)    ;
   3 ; USIH   ;    26; MIRANDA       ;    3   ; QDEF   ;HIDRLIM   ;  10026 ;     1.00;  (m3/s)  ;    42.00;     -   ; NAO ; OPERUH (RQ)    ;
   3 ; USIH   ;    30; CORUMBA I     ;    3   ; QDEF   ;HIDRLIM   ;  10030 ;     1.00;  (m3/s)  ;    74.00;     -   ; NAO ; OPERUH (RQ)    ;
   3 ; USIH   ;    31; ITUMBIARA     ;    3   ; QDEF   ;HIDRLIM   ;  10031 ;     1.00;  (m3/s)  ;   233.00;     -   ; NAO ; OPERUH (RQ)    ;
   3 ; USIH   ;    32; CACH.DOURADA  ;    3   ; QDEF   ;HIDRLIM   ;  10032 ;     1.00;  (m3/s)  ;   254.00;     -   ; NAO ; OPERUH (RQ)    ;
   3 ; USIH   ;    33; SAO SIMAO     ;    3   ; QDEF   ;HIDRLIM   ;  10033 ;     1.00;  (m3/s)  ;   450.00;     -   ; NAO ; OPERUH (RQ)    ;
   4 ; USIT   ;     1; ANGRA 1       ;    4   ; GTER   ;TERMLIM   ;      1 ;     1.00;   (MW)   ;     0.00;   657.00; NAO ; Reg. UT        ;
   4 ; USIT   ;     2; IGARAPE       ;    4   ; GTER   ;TERMLIM   ;      2 ;     1.00;   (MW)   ;     0.00;   131.00; NAO ; Reg. UT        ;
   4 ; USIT   ;     3; ST.CRUZ 12    ;    4   ; GTER   ;TERMLIM   ;      3 ;     1.00;   (MW)   ;     0.00;    84.00; NAO ; Reg. UT        ;
   4 ; USIT   ;    50; PIRAT.12 G    ;    4   ; GTER   ;TERMLIM   ;     50 ;     1.00;   (MW)   ;     0.00;   200.00; NAO ; Reg. UT        ;
   4 ; USIT   ;     4; ST.CRUZ 34    ;    4   ; GTER   ;TERMLIM   ;      4 ;     1.00;   (MW)   ;     0.00;   220.00; NAO ; Reg. UT        ;
   4 ; USIH   ;     6; FURNAS        ;    4   ; QDEF   ;HIDRLIM   ;  10006 ;     1.00;  (m3/s)  ;   102.00;     -   ; NAO ; OPERUH (RQ)    ;
   4 ; USIH   ;     7; M. DE MORAES  ;    4   ; QDEF   ;HIDRLIM   ;  10007 ;     1.00;  (m3/s)  ;  1100.00;     -   ; NAO ; OPERUH (RQ)    ;
   4 ; USIH   ;     8; ESTREITO      ;    4   ; QDEF   ;HIDRLIM   ;  10008 ;     1.00;  (m3/s)  ;   115.00;     -   ; NAO ; OPERUH (RQ)    ;
   4 ; USIH   ;    10; IGARAPAVA     ;    4   ; QDEF   ;HIDRLIM   ;  10010 ;     1.00;  (m3/s)  ;   119.00;     -   ; NAO ; OPERUH (RQ)    ;
   4 ; USIH   ;    14; CACONDE       ;    4   ; QDEF   ;HIDRLIM   ;  10014 ;     1.00;  (m3/s)  ;     8.00;     -   ; NAO ; OPERUH (RQ)    ;
   4 ; USIH   ;    15; E. DA CUNHA   ;    4   ; QDEF   ;HIDRLIM   ;  10015 ;     1.00;  (m3/s)  ;    12.00;     -   ; NAO ; OPERUH (RQ)    ;
   4 ; USIH   ;    16; A.S.OLIVEIRA  ;    4   ; QDEF   ;HIDRLIM   ;  10016 ;     1.00;  (m3/s)  ;    12.00;     -   ; NAO ; OPERUH (RQ)    ;
   4 ; USIH   ;    24; EMBORCACAO    ;    4   ; QDEF   ;HIDRLIM   ;  10024 ;     1.00;  (m3/s)  ;    51.00;     -   ; NAO ; OPERUH (RQ)    ;
   4 ; USIH   ;    25; NOVA PONTE    ;    4   ; QDEF   ;HIDRLIM   ;  10025 ;     1.00;  (m3/s)  ;    40.00;     -   ; NAO ; OPERUH (RQ)    ;
   4 ; USIH   ;    26; MIRANDA       ;    4   ; QDEF   ;HIDRLIM   ;  10026 ;     1.00;  (m3/s)  ;    42.00;     -   ; NAO ; OPERUH (RQ)    ;
   4 ; USIH   ;    30; CORUMBA I     ;    4   ; QDEF   ;HIDRLIM   ;  10030 ;     1.00;  (m3/s)  ;    74.00;     -   ; NAO ; OPERUH (RQ)    ;
   4 ; USIH   ;    31; ITUMBIARA     ;    4   ; QDEF   ;HIDRLIM   ;  10031 ;     1.00;  (m3/s)  ;   233.00;     -   ; NAO ; OPERUH (RQ)    ;
   4 ; USIH   ;    32; CACH.DOURADA  ;    4   ; QDEF   ;HIDRLIM   ;  10032 ;     1.00;  (m3/s)  ;   254.00;     -   ; NAO ; OPERUH (RQ)    ;
