-----;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;
     ;      TOTAL      ;    IPER =   1  ;;    IPER =   2  ;;    IPER =   3  ;;    IPER =   4  ;;    IPER =   5  ;;    IPER =   6  ;;    IPER =   7  ;;    IPER =   8  ;;    IPER =   9  ;;    IPER =  10  ;;    IPER =  11  ;;    IPER =  12  ;;    IPER =  13  ;;    IPER =  14  ;;    IPER =  15  ;;    IPER =  16  ;;    IPER =  17  ;;    IPER =  18  ;;    IPER =  19  ;;    IPER =  20  ;;    IPER =  21  ;;    IPER =  22  ;;    IPER =  23  ;;    IPER =  24  ;;
 PERC;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;
-----;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;
  28 ;    0.12;    0.09;    0.06;    0.03;    0.03;    0.03;    0.01;    0.03;    0.01;    0.03;    0.01;    0.03;    0.06;    0.09;    0.06;    0.09;    0.02;    0.03;    0.02;    0.05;    0.03;    0.03;    0.02;    0.04;    0.77;    0.42;    0.06;    0.04;    0.06;    0.05;    0.06;    0.04;    0.06;    0.09;    0.06;    0.09;    0.06;    0.09;    0.64;    0.25;    0.06;    0.02;    0.34;    0.02;    0.85;    0.02;    0.07;    0.02;    0.06;    0.09;
  29 ;    0.14;    0.09;    0.09;    0.05;    0.06;    0.09;    0.03;    0.04;    0.03;    0.04;    0.02;    0.03;    0.35;    0.10;    0.34;    0.10;    0.04;    0.04;    0.03;    0.09;    0.05;    0.09;    0.02;    0.07;    0.86;    0.55;    0.09;    0.04;    0.23;    0.09;    0.15;    0.09;    0.45;    0.10;    0.73;    0.16;    0.99;    0.22;    0.86;    0.46;    0.86;    0.42;    0.86;    0.05;    4.05;    0.80;    0.41;    0.19;    0.78;    0.67;
  30 ;    0.15;    0.10;    0.09;    0.05;    0.06;    0.09;    0.03;    0.04;    0.03;    0.04;    0.02;    0.03;    0.35;    0.10;    0.34;    0.10;    0.04;    0.04;    0.03;    0.09;    0.05;    0.09;    0.02;    0.07;    0.86;    0.55;    0.09;    0.04;    0.23;    0.09;    0.15;    0.09;    0.45;    0.10;    0.73;    0.16;    0.99;    0.22;    0.86;    0.46;    0.86;    0.42;    0.86;    0.05;    4.05;    0.80;    0.41;    0.19;    0.78;    0.67;
  31 ;    0.26;    0.10;    0.09;    0.05;    0.06;    0.09;    0.03;    0.04;    0.03;    0.04;    0.02;    0.03;    0.35;    0.10;    0.34;    0.10;    0.04;    0.04;    0.03;    0.09;    0.05;    0.09;    0.02;    0.07;    0.86;    0.55;    0.09;    0.04;    0.23;    0.09;    0.15;    0.09;    0.45;    0.10;    0.73;    0.16;    0.99;    0.22;    0.86;    0.46;    0.86;    0.42;    0.86;    0.05;    4.05;    0.80;    0.41;    0.19;    0.78;    0.67;
  32 ;    0.31;    0.11;    0.09;    0.05;    0.06;    0.09;    0.03;    0.04;    0.03;    0.04;    0.02;    0.03;    0.35;    0.10;    0.34;    0.10;    0.04;    0.04;    0.03;    0.09;    0.05;    0.09;    0.02;    0.07;    0.86;    0.55;    0.09;    0.04;    0.23;    0.09;    0.15;    0.09;    0.45;    0.10;    0.73;    0.16;    0.99;    0.22;    0.86;    0.46;    0.86;    0.42;    0.86;    0.05;    4.05;    0.80;    0.41;    0.19;    0.78;    0.67;
  33 ;    0.34;    0.12;    0.09;    0.05;    0.06;    0.09;    0.03;    0.04;    0.03;    0.04;    0.02;    0.03;    0.35;    0.10;    0.34;    0.10;    0.04;    0.04;    0.03;    0.09;    0.05;    0.09;    0.02;    0.07;    0.86;    0.55;    0.09;    0.04;    0.23;    0.09;    0.15;    0.09;    0.45;    0.10;    0.73;    0.16;    0.99;    0.22;    0.86;    0.46;    0.86;    0.42;    0.86;    0.05;    4.05;    0.80;    0.41;    0.19;    0.78;    0.67;
  34 ;    0.37;    0.13;    0.09;    0.05;    0.06;    0.09;    0.03;    0.04;    0.03;    0.04;    0.02;    0.03;    0.35;    0.10;    0.34;    0.10;    0.04;    0.04;    0.03;    0.09;    0.05;    0.09;    0.02;    0.07;    0.86;    0.55;    0.09;    0.04;    0.23;    0.09;    0.15;    0.09;    0.45;    0.10;    0.73;    0.16;    0.99;    0.22;    0.86;    0.46;    0.86;    0.42;    0.86;    0.05;    4.05;    0.80;    0.41;    0.19;    0.78;    0.67;
  35 ;    0.44;    0.16;    0.09;    0.05;    0.06;    0.09;    0.03;    0.04;    0.03;    0.04;    0.02;    0.03;    0.35;    0.10;    0.34;    0.10;    0.04;    0.04;    0.03;    0.09;    0.05;    0.09;    0.02;    0.07;    0.86;    0.55;    0.09;    0.04;    0.23;    0.09;    0.15;    0.09;    0.45;    0.10;    0.73;    0.16;    0.99;    0.22;    0.86;    0.46;    0.86;    0.42;    0.86;    0.05;    4.05;    0.80;    0.41;    0.19;    0.78;    0.67;
  36 ;    0.54;    0.19;    0.15;    0.09;    0.07;    0.09;    0.06;    0.09;    0.06;    0.09;    0.06;    0.09;    0.37;    0.25;    0.37;    0.23;    0.05;    0.09;    0.05;    0.09;    0.06;    0.09;    0.05;    0.08;    2.09;    0.69;    0.14;    0.09;    1.00;    0.29;    1.01;    0.23;    1.03;    0.31;    1.04;    0.35;    1.04;    0.34;    1.16;    0.49;    2.72;    0.45;    4.65;    1.17;    5.59;    1.17;    0.86;    1.17;    1.04;    0.72;
  37 ;    0.63;    0.22;    0.15;    0.09;    0.07;    0.09;    0.06;    0.09;    0.06;    0.09;    0.06;    0.09;    0.37;    0.25;    0.37;    0.23;    0.05;    0.09;    0.05;    0.09;    0.06;    0.09;    0.05;    0.08;    2.09;    0.69;    0.14;    0.09;    1.00;    0.29;    1.01;    0.23;    1.03;    0.31;    1.04;    0.35;    1.04;    0.34;    1.16;    0.49;    2.72;    0.45;    4.65;    1.17;    5.59;    1.17;    0.86;    1.17;    1.04;    0.72;
