***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Somatorio de fluxos de circuitos/barras eletricas                                                   
  
-----;------;-------;-;-;-----;--------------------------------------------------;--------;--------;---;-----------;-----------;-----------;-----------;
     ;      ;       ; ; ;     ;                                                  ; Bar De/; Bar    ;   ;           ;           ;           ;           ;
IPER ; IND  ;  Pat  ;V;L;NUM  ;    Nome                                          ;   Bar  ; Para   ;Cir;   Valor   ;   Linf    ;   Lsup    ;  Multipl  ;
-----;------;-------;-;-;-----;--------------------------------------------------;--------;--------;---;-----------;-----------;-----------;-----------;
  8  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     1  ;   -   ; - ;  -728.650 ;    -      ;    -      ;    -      ;
  8  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     2  ;   -   ; - ;  -377.528 ;    -      ;    -      ;    -      ;
  8  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     3  ;   -   ; - ;  -200.000 ;    -      ;    -      ;    -      ;
  8  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     4  ;   -   ; - ;     0.000 ;    -      ;    -      ;    -      ;
  8  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     5  ;   -   ; - ;   -41.300 ;    -      ;    -      ;    -      ;
  8  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     6  ;   -   ; - ;    -      ;    -      ;    -      ;    -      ;
  9  ;    1 ;MEDIA  ;-; ; 128 ;# RNE                                             ;    -   ;    -   ; - ;   511.075 ;-99999.000 ;  3600.000 ;     0.000 ;
  9  ;    1 ;MEDIA  ;-; ; 128 ;# RNE                                             ;     1  ;     2  ; 1 ;   162.637 ;    -      ;    -      ;    -      ;
  9  ;    1 ;MEDIA  ;-; ; 128 ;# RNE                                             ;     2  ;     4  ; 1 ;   219.991 ;    -      ;    -      ;    -      ;
  9  ;    1 ;MEDIA  ;-; ; 128 ;# RNE                                             ;     4  ;     9  ; 1 ;   128.447 ;    -      ;    -      ;    -      ;
  9  ;    2 ;MEDIA  ;-; ; 103 ;# Exp_N                                           ;    -   ;    -   ; - ;  -217.596 ;-99999.000 ;  5000.000 ;     0.000 ;
  9  ;    2 ;MEDIA  ;-; ; 103 ;# Exp_N                                           ;     1  ;     3  ; 1 ;  -161.993 ;    -      ;    -      ;    -      ;
  9  ;    2 ;MEDIA  ;-; ; 103 ;# Exp_N                                           ;     8  ;     9  ; 1 ;   -55.604 ;    -      ;    -      ;    -      ;
  9  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;    -   ;    -   ; - ; -1347.502 ;-99999.000 ;  9999.000 ;     0.000 ;
  9  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     1  ;   -   ; - ;  -728.674 ;    -      ;    -      ;    -      ;
  9  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     2  ;   -   ; - ;  -377.528 ;    -      ;    -      ;    -      ;
  9  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     3  ;   -   ; - ;  -200.000 ;    -      ;    -      ;    -      ;
  9  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     4  ;   -   ; - ;     0.000 ;    -      ;    -      ;    -      ;
  9  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     5  ;   -   ; - ;   -41.300 ;    -      ;    -      ;    -      ;
  9  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     6  ;   -   ; - ;    -      ;    -      ;    -      ;    -      ;
 10  ;    1 ;MEDIA  ;-; ; 128 ;# RNE                                             ;    -   ;    -   ; - ;   502.821 ;-99999.000 ;  3600.000 ;     0.000 ;
 10  ;    1 ;MEDIA  ;-; ; 128 ;# RNE                                             ;     1  ;     2  ; 1 ;   164.115 ;    -      ;    -      ;    -      ;
 10  ;    1 ;MEDIA  ;-; ; 128 ;# RNE                                             ;     2  ;     4  ; 1 ;   217.194 ;    -      ;    -      ;    -      ;
 10  ;    1 ;MEDIA  ;-; ; 128 ;# RNE                                             ;     4  ;     9  ; 1 ;   121.512 ;    -      ;    -      ;    -      ;
 10  ;    2 ;MEDIA  ;-; ; 103 ;# Exp_N                                           ;    -   ;    -   ; - ;  -221.554 ;-99999.000 ;  5000.000 ;     0.000 ;
 10  ;    2 ;MEDIA  ;-; ; 103 ;# Exp_N                                           ;     1  ;     3  ; 1 ;  -156.695 ;    -      ;    -      ;    -      ;
 10  ;    2 ;MEDIA  ;-; ; 103 ;# Exp_N                                           ;     8  ;     9  ; 1 ;   -64.859 ;    -      ;    -      ;    -      ;
 10  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;    -   ;    -   ; - ; -1347.526 ;-99999.000 ;  9999.000 ;     0.000 ;
 10  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     1  ;   -   ; - ;  -728.698 ;    -      ;    -      ;    -      ;
 10  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     2  ;   -   ; - ;  -377.528 ;    -      ;    -      ;    -      ;
 10  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     3  ;   -   ; - ;  -200.000 ;    -      ;    -      ;    -      ;
 10  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     4  ;   -   ; - ;     0.000 ;    -      ;    -      ;    -      ;
 10  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     5  ;   -   ; - ;   -41.300 ;    -      ;    -      ;    -      ;
 10  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     6  ;   -   ; - ;    -      ;    -      ;    -      ;    -      ;
 11  ;    1 ;MEDIA  ;-; ; 128 ;# RNE                                             ;    -   ;    -   ; - ;   504.157 ;-99999.000 ;  3600.000 ;     0.000 ;
 11  ;    1 ;MEDIA  ;-; ; 128 ;# RNE                                             ;     1  ;     2  ; 1 ;   160.846 ;    -      ;    -      ;    -      ;
 11  ;    1 ;MEDIA  ;-; ; 128 ;# RNE                                             ;     2  ;     4  ; 1 ;   218.203 ;    -      ;    -      ;    -      ;
 11  ;    1 ;MEDIA  ;-; ; 128 ;# RNE                                             ;     4  ;     9  ; 1 ;   125.107 ;    -      ;    -      ;    -      ;
 11  ;    2 ;MEDIA  ;-; ; 103 ;# Exp_N                                           ;    -   ;    -   ; - ;  -223.288 ;-99999.000 ;  5000.000 ;     0.000 ;
 11  ;    2 ;MEDIA  ;-; ; 103 ;# Exp_N                                           ;     1  ;     3  ; 1 ;  -164.926 ;    -      ;    -      ;    -      ;
 11  ;    2 ;MEDIA  ;-; ; 103 ;# Exp_N                                           ;     8  ;     9  ; 1 ;   -58.362 ;    -      ;    -      ;    -      ;
 11  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;    -   ;    -   ; - ; -1347.550 ;-99999.000 ;  9999.000 ;     0.000 ;
 11  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     1  ;   -   ; - ;  -728.721 ;    -      ;    -      ;    -      ;
 11  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     2  ;   -   ; - ;  -377.528 ;    -      ;    -      ;    -      ;
 11  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     3  ;   -   ; - ;  -200.000 ;    -      ;    -      ;    -      ;
 11  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     4  ;   -   ; - ;     0.000 ;    -      ;    -      ;    -      ;
 11  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     5  ;   -   ; - ;   -41.300 ;    -      ;    -      ;    -      ;
 11  ;    3 ;MEDIA  ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     6  ;   -   ; - ;    -      ;    -      ;    -      ;    -      ;
 12  ;    1 ;MEDIA  ;-; ; 128 ;# RNE                                             ;    -   ;    -   ; - ;   494.109 ;-99999.000 ;  3600.000 ;     0.000 ;
 12  ;    1 ;MEDIA  ;-; ; 128 ;# RNE                                             ;     1  ;     2  ; 1 ;   177.830 ;    -      ;    -      ;    -      ;
