***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Dados dos cortes do decomp.
  
-----;--------;------;------;---------;-----------;
NITER; NREGDC ; NSIS ; NPLT ; NUTV ; NGNL ;IPTDEC1 ;
   IPTDEC2 ;
-----;--------;------;------;---------;-----------;
  27 ;    135 ;    2 ;   14 ;    0 ;    0 ;    135  ;       0   ;
-----;--------;------;------;---------;-----------;

Cortes da segunda semana de estudo do DECOMP

-----;------;------;-----;-----;-----;----------------;
 IND ; IREG ; TIPO ; USI ; LAG ; PAT ;    Valor       ;
-----;------;------;-----;-----;-----;----------------;
  10 ;      ; VARM ;  30 ;  -  ;  -  ;         -96.41 ;
  10 ;      ; VARM ;  31 ;  -  ;  -  ;         -91.90 ;
  10 ;      ; VARM ;  32 ;  -  ;  -  ;         -52.41 ;
  10 ;      ; VARM ;  33 ;  -  ;  -  ;         -37.06 ;
  11 ;   85 ; RHS  ;     ;     ;     ;     5981666.65 ;
  11 ;      ; VARM ;   6 ;  -  ;  -  ;        -106.40 ;
  11 ;      ; VARM ;   7 ;  -  ;  -  ;         -61.11 ;
  11 ;      ; VARM ;   8 ;  -  ;  -  ;         -41.02 ;
  11 ;      ; VARM ;  10 ;  -  ;  -  ;          -8.56 ;
  11 ;      ; VARM ;  14 ;  -  ;  -  ;         -99.49 ;
  11 ;      ; VARM ;  15 ;  -  ;  -  ;         -53.30 ;
  11 ;      ; VARM ;  16 ;  -  ;  -  ;         -12.09 ;
  11 ;      ; VARM ;  24 ;  -  ;  -  ;        -155.20 ;
  11 ;      ; VARM ;  25 ;  -  ;  -  ;        -185.69 ;
  11 ;      ; VARM ;  26 ;  -  ;  -  ;        -128.58 ;
  11 ;      ; VARM ;  30 ;  -  ;  -  ;         -96.41 ;
  11 ;      ; VARM ;  31 ;  -  ;  -  ;         -91.94 ;
  11 ;      ; VARM ;  32 ;  -  ;  -  ;         -52.47 ;
  11 ;      ; VARM ;  33 ;  -  ;  -  ;         -37.39 ;
  12 ;   80 ; RHS  ;     ;     ;     ;     5979548.45 ;
  12 ;      ; VARM ;   6 ;  -  ;  -  ;        -106.40 ;
  12 ;      ; VARM ;   7 ;  -  ;  -  ;         -61.09 ;
  12 ;      ; VARM ;   8 ;  -  ;  -  ;         -40.99 ;
  12 ;      ; VARM ;  10 ;  -  ;  -  ;          -8.51 ;
  12 ;      ; VARM ;  14 ;  -  ;  -  ;         -99.45 ;
  12 ;      ; VARM ;  15 ;  -  ;  -  ;         -53.32 ;
  12 ;      ; VARM ;  16 ;  -  ;  -  ;         -12.09 ;
  12 ;      ; VARM ;  24 ;  -  ;  -  ;        -155.20 ;
  12 ;      ; VARM ;  25 ;  -  ;  -  ;        -185.69 ;
  12 ;      ; VARM ;  26 ;  -  ;  -  ;        -128.60 ;
  12 ;      ; VARM ;  30 ;  -  ;  -  ;         -96.41 ;
  12 ;      ; VARM ;  31 ;  -  ;  -  ;         -91.90 ;
  12 ;      ; VARM ;  32 ;  -  ;  -  ;         -52.41 ;
  12 ;      ; VARM ;  33 ;  -  ;  -  ;         -37.05 ;
  13 ;   75 ; RHS  ;     ;     ;     ;     5981853.00 ;
  13 ;      ; VARM ;   6 ;  -  ;  -  ;        -106.40 ;
  13 ;      ; VARM ;   7 ;  -  ;  -  ;         -61.11 ;
  13 ;      ; VARM ;   8 ;  -  ;  -  ;         -41.03 ;
  13 ;      ; VARM ;  10 ;  -  ;  -  ;          -8.57 ;
  13 ;      ; VARM ;  14 ;  -  ;  -  ;         -99.49 ;
  13 ;      ; VARM ;  15 ;  -  ;  -  ;         -53.29 ;
  13 ;      ; VARM ;  16 ;  -  ;  -  ;         -12.09 ;
  13 ;      ; VARM ;  24 ;  -  ;  -  ;        -155.21 ;
  13 ;      ; VARM ;  25 ;  -  ;  -  ;        -185.69 ;
  13 ;      ; VARM ;  26 ;  -  ;  -  ;        -128.63 ;
  13 ;      ; VARM ;  30 ;  -  ;  -  ;         -96.41 ;
  13 ;      ; VARM ;  31 ;  -  ;  -  ;         -91.95 ;
  13 ;      ; VARM ;  32 ;  -  ;  -  ;         -52.49 ;
  13 ;      ; VARM ;  33 ;  -  ;  -  ;         -37.41 ;
  14 ;   70 ; RHS  ;     ;     ;     ;     5979624.87 ;
  14 ;      ; VARM ;   6 ;  -  ;  -  ;        -106.40 ;
  14 ;      ; VARM ;   7 ;  -  ;  -  ;         -61.09 ;
