-----;-----;--------------;----------;----------;---------;---------;---------;----;----------;----------;------------;------------;------;
USIH ;IPER ;   NomeUsih   ; Varm Med ;  Vutil   ;  Qtur   ;  Qver   ;  Qjus   ;Afog;Ghid (FPH);Ghid (FPHA; Desvio Abs ; DesvioPerc ;Vtfuga;
  -  ;  -  ;      -       ;  (hm3)   ;   (%)    ; (m3/s)  ; (m3/s)  ; (m3/s)  ;    ;   (MW)   ;   (MW)   ;    (MW)    ;    (%)     ;  -   ;
-----;-----;--------------;----------;----------;---------;---------;---------;----;----------;----------;------------;------------;------;
 014 ;  20 ; CACONDE      ;    -     ;    51.02 ;    91.35;     0.00;     0.00;  0 ;    69.32 ;    73.97 ;       4.65 ;       6.70 ;   1  ;
 016 ;  20 ; A.S.OLIVEIRA ;    -     ;   100.00 ;   148.35;     0.00;     0.00;  0 ;    31.14 ;    32.00 ;       0.86 ;       2.75 ;   1  ;
 024 ;  20 ; EMBORCACAO   ;    -     ;    53.74 ;   957.79;     0.00;     0.00;  0 ;  1012.39 ;  1040.10 ;      27.71 ;       2.74 ;   0  ;
 030 ;  20 ; CORUMBA I    ;    -     ;    66.90 ;    74.00;     0.00;     0.00;  0 ;    49.91 ;    64.89 ;      14.98 ;      30.01 ;   1  ;
 032 ;  20 ; CACH.DOURADA ;    -     ;   100.00 ;  1071.21;     0.00;     0.00;  0 ;   307.59 ;   313.99 ;       6.40 ;       2.08 ;   1  ;
 006 ;  21 ; FURNAS       ;    -     ;     9.26 ; ********;     0.00;     0.00;  0 ;     0.00 ; 87104.81 ;   87104.81 ;     100.00 ;   1  ;
 007 ;  21 ; M. DE MORAES ;    -     ;    16.76 ;  1136.33;     0.00;     0.00;  1 ;   312.96 ;   303.22 ;      -9.74 ;      -3.11 ;   1  ;
 008 ;  21 ; ESTREITO     ;    -     ;   100.00 ;  1167.33;     0.00;     0.00;  0 ;   654.41 ;   667.59 ;      13.18 ;       2.01 ;   1  ;
 014 ;  21 ; CACONDE      ;    -     ;    51.02 ;    91.35;     0.00;     0.00;  0 ;    69.32 ;    73.97 ;       4.65 ;       6.70 ;   1  ;
 016 ;  21 ; A.S.OLIVEIRA ;    -     ;   100.00 ;   148.35;     0.00;     0.00;  0 ;    31.14 ;    32.00 ;       0.86 ;       2.75 ;   1  ;
 031 ;  21 ; ITUMBIARA    ;    -     ;   -47.35 ; ********;     0.00;     0.00;  0 ;     0.00 ; ******** ; 1877096.65 ;     100.00 ;   1  ;
 032 ;  21 ; CACH.DOURADA ;    -     ;   100.00 ; ********;     0.00;     0.00;  0 ;     0.00 ; ******** ;  757077.22 ;     100.00 ;   1  ;
 033 ;  21 ; SAO SIMAO    ;    -     ;   183.30 ; 10110.68;     0.00;     0.00;  0 ;  1710.00 ;  6902.58 ;    5192.58 ;     303.66 ;   0  ;
 007 ;  22 ; M. DE MORAES ;    -     ;    25.88 ;  1136.41;     0.00;     0.00;  1 ;   325.87 ;   303.24 ;     -22.63 ;      -6.94 ;   1  ;
 008 ;  22 ; ESTREITO     ;    -     ;   100.00 ;  1167.41;     0.00;     0.00;  0 ;   654.45 ;   667.63 ;      13.18 ;       2.01 ;   1  ;
 014 ;  22 ; CACONDE      ;    -     ;    51.01 ;    90.55;     0.00;     0.00;  0 ;    68.74 ;    80.40 ;      11.66 ;      16.96 ;   1  ;
 016 ;  22 ; A.S.OLIVEIRA ;    -     ;   100.00 ;   148.34;    -0.78;     0.00;  0 ;    31.15 ;    32.00 ;       0.85 ;       2.73 ;   1  ;
 030 ;  22 ; CORUMBA I    ;    -     ;  1481.29 ;   556.78;     0.00;     0.00;  0 ;   375.00 ;  1465.88 ;    1090.88 ;     290.90 ;   1  ;
 031 ;  22 ; ITUMBIARA    ;    -     ;  -148.77 ;  1739.40;     0.00;     0.00;  0 ;     0.00 ;   582.76 ;     582.76 ;     100.00 ;   1  ;
