***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________

-------------------------------------------------------------------------------
Dados de vazoes naturais afluentes e retiradas de agua para outros usos para as 
-------------------------------------------------------------------------------
-------------------------------------------------------------
IPER:     Indice do periodo.                                                                                                                                                                            
USIH:     Numero de cadastro da usina hidroeletrica                                                                                                                                                     
NomeUsih: Nome de cadastro da usina hidroeletrica                                                                                                                                                       
TpQnat:   Tipo de vazao natural, conforme descricao a seguir:                                                                                                                                           
          I: Vazao natural incremental                                                                                                                                                                  
          T: Vazao natural total                                                                                                                                                                        
          R: Vazao natural regularizada                                                                                                                                                                 
Qnat:     Vazao natural                                                                                                                                                                                 
Qret:     Vazao retirada para usos alternativos                                                                                                                                                         
-------------------------------------------------------------

-----;-----;--------------;------;---------;---------;
IPER ;USIH ;   NomeUsih   ;TpQnat;  Qnat   ;  Qret   ;
  -  ;  -  ;      -       ;  -   ; (m3/s)  ; (m3/s)  ;
-----;-----;--------------;------;---------;---------;
  10 ; 030 ; CORUMBA I    ;   I  ;   661.00;     0.00;
  10 ; 031 ; ITUMBIARA    ;   I  ;   444.00;     0.00;
  10 ; 032 ; CACH.DOURADA ;   I  ;   112.00;     0.00;
  10 ; 033 ; SAO SIMAO    ;   I  ;  1150.00;     0.00;
  11 ; 006 ; FURNAS       ;   I  ;  1295.00;     0.00;
  11 ; 007 ; M. DE MORAES ;   I  ;   149.00;     0.00;
  11 ; 008 ; ESTREITO     ;   I  ;    31.00;     0.00;
  11 ; 010 ; IGARAPAVA    ;   I  ;    49.00;     0.00;
  11 ; 014 ; CACONDE      ;   I  ;    85.00;     0.00;
  11 ; 015 ; E. DA CUNHA  ;   I  ;    55.00;     0.00;
  11 ; 016 ; A.S.OLIVEIRA ;   I  ;     2.00;     0.00;
  11 ; 024 ; EMBORCACAO   ;   I  ;   671.00;     0.00;
  11 ; 025 ; NOVA PONTE   ;   I  ;   493.00;     0.00;
  11 ; 026 ; MIRANDA      ;   I  ;    78.00;     0.00;
  11 ; 030 ; CORUMBA I    ;   I  ;   661.00;     0.00;
  11 ; 031 ; ITUMBIARA    ;   I  ;   444.00;     0.00;
  11 ; 032 ; CACH.DOURADA ;   I  ;   112.00;     0.00;
  11 ; 033 ; SAO SIMAO    ;   I  ;  1150.00;     0.00;
  12 ; 006 ; FURNAS       ;   I  ;  1295.00;     0.00;
  12 ; 007 ; M. DE MORAES ;   I  ;   149.00;     0.00;
  12 ; 008 ; ESTREITO     ;   I  ;    31.00;     0.00;
  12 ; 010 ; IGARAPAVA    ;   I  ;    49.00;     0.00;
  12 ; 014 ; CACONDE      ;   I  ;    85.00;     0.00;
  12 ; 015 ; E. DA CUNHA  ;   I  ;    55.00;     0.00;
  12 ; 016 ; A.S.OLIVEIRA ;   I  ;     2.00;     0.00;
  12 ; 024 ; EMBORCACAO   ;   I  ;   671.00;     0.00;
  12 ; 025 ; NOVA PONTE   ;   I  ;   493.00;     0.00;
  12 ; 026 ; MIRANDA      ;   I  ;    78.00;     0.00;
  12 ; 030 ; CORUMBA I    ;   I  ;   661.00;     0.00;
  12 ; 031 ; ITUMBIARA    ;   I  ;   444.00;     0.00;
  12 ; 032 ; CACH.DOURADA ;   I  ;   112.00;     0.00;
  12 ; 033 ; SAO SIMAO    ;   I  ;  1150.00;     0.00;
  13 ; 006 ; FURNAS       ;   I  ;  1295.00;     0.00;
  13 ; 007 ; M. DE MORAES ;   I  ;   149.00;     0.00;
  13 ; 008 ; ESTREITO     ;   I  ;    31.00;     0.00;
  13 ; 010 ; IGARAPAVA    ;   I  ;    49.00;     0.00;
  13 ; 014 ; CACONDE      ;   I  ;    85.00;     0.00;
  13 ; 015 ; E. DA CUNHA  ;   I  ;    55.00;     0.00;
  13 ; 016 ; A.S.OLIVEIRA ;   I  ;     2.00;     0.00;
  13 ; 024 ; EMBORCACAO   ;   I  ;   671.00;     0.00;
  13 ; 025 ; NOVA PONTE   ;   I  ;   493.00;     0.00;
  13 ; 026 ; MIRANDA      ;   I  ;    78.00;     0.00;
  13 ; 030 ; CORUMBA I    ;   I  ;   661.00;     0.00;
  13 ; 031 ; ITUMBIARA    ;   I  ;   444.00;     0.00;
  13 ; 032 ; CACH.DOURADA ;   I  ;   112.00;     0.00;
  13 ; 033 ; SAO SIMAO    ;   I  ;  1150.00;     0.00;
  14 ; 006 ; FURNAS       ;   I  ;  1295.00;     0.00;
  14 ; 007 ; M. DE MORAES ;   I  ;   149.00;     0.00;
  14 ; 008 ; ESTREITO     ;   I  ;    31.00;     0.00;
  14 ; 010 ; IGARAPAVA    ;   I  ;    49.00;     0.00;
  14 ; 014 ; CACONDE      ;   I  ;    85.00;     0.00;
  14 ; 015 ; E. DA CUNHA  ;   I  ;    55.00;     0.00;
  14 ; 016 ; A.S.OLIVEIRA ;   I  ;     2.00;     0.00;
  14 ; 024 ; EMBORCACAO   ;   I  ;   671.00;     0.00;
  14 ; 025 ; NOVA PONTE   ;   I  ;   493.00;     0.00;
  14 ; 026 ; MIRANDA      ;   I  ;    78.00;     0.00;
  14 ; 030 ; CORUMBA I    ;   I  ;   661.00;     0.00;
  14 ; 031 ; ITUMBIARA    ;   I  ;   444.00;     0.00;
  14 ; 032 ; CACH.DOURADA ;   I  ;   112.00;     0.00;
  14 ; 033 ; SAO SIMAO    ;   I  ;  1150.00;     0.00;
  15 ; 006 ; FURNAS       ;   I  ;  1295.00;     0.00;
  15 ; 007 ; M. DE MORAES ;   I  ;   149.00;     0.00;
  15 ; 008 ; ESTREITO     ;   I  ;    31.00;     0.00;
  15 ; 010 ; IGARAPAVA    ;   I  ;    49.00;     0.00;
  15 ; 014 ; CACONDE      ;   I  ;    85.00;     0.00;
  15 ; 015 ; E. DA CUNHA  ;   I  ;    55.00;     0.00;
  15 ; 016 ; A.S.OLIVEIRA ;   I  ;     2.00;     0.00;
  15 ; 024 ; EMBORCACAO   ;   I  ;   671.00;     0.00;
  15 ; 025 ; NOVA PONTE   ;   I  ;   493.00;     0.00;
  15 ; 026 ; MIRANDA      ;   I  ;    78.00;     0.00;
  15 ; 030 ; CORUMBA I    ;   I  ;   661.00;     0.00;
  15 ; 031 ; ITUMBIARA    ;   I  ;   444.00;     0.00;
  15 ; 032 ; CACH.DOURADA ;   I  ;   112.00;     0.00;
  15 ; 033 ; SAO SIMAO    ;   I  ;  1150.00;     0.00;
  16 ; 006 ; FURNAS       ;   I  ;  1295.00;     0.00;
  16 ; 007 ; M. DE MORAES ;   I  ;   149.00;     0.00;
  16 ; 008 ; ESTREITO     ;   I  ;    31.00;     0.00;
  16 ; 010 ; IGARAPAVA    ;   I  ;    49.00;     0.00;
  16 ; 014 ; CACONDE      ;   I  ;    85.00;     0.00;
  16 ; 015 ; E. DA CUNHA  ;   I  ;    55.00;     0.00;
  16 ; 016 ; A.S.OLIVEIRA ;   I  ;     2.00;     0.00;
  16 ; 024 ; EMBORCACAO   ;   I  ;   671.00;     0.00;
  16 ; 025 ; NOVA PONTE   ;   I  ;   493.00;     0.00;
  16 ; 026 ; MIRANDA      ;   I  ;    78.00;     0.00;
  16 ; 030 ; CORUMBA I    ;   I  ;   661.00;     0.00;
  16 ; 031 ; ITUMBIARA    ;   I  ;   444.00;     0.00;
  16 ; 032 ; CACH.DOURADA ;   I  ;   112.00;     0.00;
  16 ; 033 ; SAO SIMAO    ;   I  ;  1150.00;     0.00;
  17 ; 006 ; FURNAS       ;   I  ;  1295.00;     0.00;
  17 ; 007 ; M. DE MORAES ;   I  ;   149.00;     0.00;
  17 ; 008 ; ESTREITO     ;   I  ;    31.00;     0.00;
  17 ; 010 ; IGARAPAVA    ;   I  ;    49.00;     0.00;
  17 ; 014 ; CACONDE      ;   I  ;    85.00;     0.00;
  17 ; 015 ; E. DA CUNHA  ;   I  ;    55.00;     0.00;
  17 ; 016 ; A.S.OLIVEIRA ;   I  ;     2.00;     0.00;
  17 ; 024 ; EMBORCACAO   ;   I  ;   671.00;     0.00;
  17 ; 025 ; NOVA PONTE   ;   I  ;   493.00;     0.00;
  17 ; 026 ; MIRANDA      ;   I  ;    78.00;     0.00;
  17 ; 030 ; CORUMBA I    ;   I  ;   661.00;     0.00;
  17 ; 031 ; ITUMBIARA    ;   I  ;   444.00;     0.00;
  17 ; 032 ; CACH.DOURADA ;   I  ;   112.00;     0.00;
  17 ; 033 ; SAO SIMAO    ;   I  ;  1150.00;     0.00;
  18 ; 006 ; FURNAS       ;   I  ;  1295.00;     0.00;
  18 ; 007 ; M. DE MORAES ;   I  ;   149.00;     0.00;
  18 ; 008 ; ESTREITO     ;   I  ;    31.00;     0.00;
  18 ; 010 ; IGARAPAVA    ;   I  ;    49.00;     0.00;
  18 ; 014 ; CACONDE      ;   I  ;    85.00;     0.00;
  18 ; 015 ; E. DA CUNHA  ;   I  ;    55.00;     0.00;
  18 ; 016 ; A.S.OLIVEIRA ;   I  ;     2.00;     0.00;
  18 ; 024 ; EMBORCACAO   ;   I  ;   671.00;     0.00;
  18 ; 025 ; NOVA PONTE   ;   I  ;   493.00;     0.00;
  18 ; 026 ; MIRANDA      ;   I  ;    78.00;     0.00;
  18 ; 030 ; CORUMBA I    ;   I  ;   661.00;     0.00;
  18 ; 031 ; ITUMBIARA    ;   I  ;   444.00;     0.00;
  18 ; 032 ; CACH.DOURADA ;   I  ;   112.00;     0.00;
  18 ; 033 ; SAO SIMAO    ;   I  ;  1150.00;     0.00;
  19 ; 006 ; FURNAS       ;   I  ;  1295.00;     0.00;
  19 ; 007 ; M. DE MORAES ;   I  ;   149.00;     0.00;
  19 ; 008 ; ESTREITO     ;   I  ;    31.00;     0.00;
  19 ; 010 ; IGARAPAVA    ;   I  ;    49.00;     0.00;
  19 ; 014 ; CACONDE      ;   I  ;    85.00;     0.00;
  19 ; 015 ; E. DA CUNHA  ;   I  ;    55.00;     0.00;
  19 ; 016 ; A.S.OLIVEIRA ;   I  ;     2.00;     0.00;
  19 ; 024 ; EMBORCACAO   ;   I  ;   671.00;     0.00;
  19 ; 025 ; NOVA PONTE   ;   I  ;   493.00;     0.00;
  19 ; 026 ; MIRANDA      ;   I  ;    78.00;     0.00;
  19 ; 030 ; CORUMBA I    ;   I  ;   661.00;     0.00;
