***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________



Resultados Relativos as Usinas Termicas:

----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
IPER;  Pat  ;USIT;     Nome    ;Unid;Sist;  Geracao  ;    GMin   ;    GMax   ; Capacidade ; L/D ;CustoLinear;
    ;       ;    ;             ;    ;    ;     MW    ;     MW    ;     MW    ;      MW    ;     ;   $/(MWh) ;
----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
 11 ;MEDIA  ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
 11 ;MEDIA  ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
 11 ;MEDIA  ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
 11 ;MEDIA  ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
 11 ;MEDIA  ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
 12 ;MEDIA  ;  1 ;ANGRA 1      ;  1 ; S1 ;    657.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    200.00 ;
 12 ;MEDIA  ;  1 ;ANGRA 1      ; 99 ; S1 ;    657.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
 12 ;MEDIA  ;  2 ;IGARAPE      ;  1 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
 12 ;MEDIA  ;  2 ;IGARAPE      ; 99 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
 12 ;MEDIA  ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
 12 ;MEDIA  ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
 12 ;MEDIA  ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
 12 ;MEDIA  ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
 12 ;MEDIA  ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
 12 ;MEDIA  ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
 13 ;MEDIA  ;  1 ;ANGRA 1      ;  1 ; S1 ;    500.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    370.00 ;
 13 ;MEDIA  ;  1 ;ANGRA 1      ; 99 ; S1 ;    500.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
 13 ;MEDIA  ;  2 ;IGARAPE      ;  1 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
 13 ;MEDIA  ;  2 ;IGARAPE      ; 99 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
 13 ;MEDIA  ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
 13 ;MEDIA  ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
 13 ;MEDIA  ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
 13 ;MEDIA  ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
 13 ;MEDIA  ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
 13 ;MEDIA  ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
 14 ;MEDIA  ;  1 ;ANGRA 1      ;  1 ; S1 ;      0.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    370.00 ;
 14 ;MEDIA  ;  1 ;ANGRA 1      ; 99 ; S1 ;      0.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
 14 ;MEDIA  ;  2 ;IGARAPE      ;  1 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
 14 ;MEDIA  ;  2 ;IGARAPE      ; 99 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
 14 ;MEDIA  ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
 14 ;MEDIA  ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
 14 ;MEDIA  ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
 14 ;MEDIA  ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
 14 ;MEDIA  ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
 14 ;MEDIA  ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
 15 ;MEDIA  ;  1 ;ANGRA 1      ;  1 ; S1 ;      0.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    370.00 ;
 15 ;MEDIA  ;  1 ;ANGRA 1      ; 99 ; S1 ;      0.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
 15 ;MEDIA  ;  2 ;IGARAPE      ;  1 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
 15 ;MEDIA  ;  2 ;IGARAPE      ; 99 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
 15 ;MEDIA  ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
 15 ;MEDIA  ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
 15 ;MEDIA  ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
 15 ;MEDIA  ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
 15 ;MEDIA  ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
 15 ;MEDIA  ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
 16 ;MEDIA  ;  1 ;ANGRA 1      ;  1 ; S1 ;      0.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    370.00 ;
 16 ;MEDIA  ;  1 ;ANGRA 1      ; 99 ; S1 ;      0.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
 16 ;MEDIA  ;  2 ;IGARAPE      ;  1 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
 16 ;MEDIA  ;  2 ;IGARAPE      ; 99 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
 16 ;MEDIA  ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
 16 ;MEDIA  ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
