***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


Problemas Referentes a Altura de Queda

------;------;----;-------;------;--------------;----------;----------;----------;------------;-------------------;
 IPER ; ITER ;IDES;  Pat  ; USIH ;     Nome     ;   Hmont  ;   Hjus   ;   Hliq   ;    Qdef    ;     Problema      ;
  -   ;   -  ;  - ;  -    ;   -  ;       -      ;   (m)    ;   (m)    ;   (m)    ;   (m3/s)   ;        -          ;
------;------;----;-------;------;--------------;----------;----------;----------;------------;-------------------;
  12  ;   1  ; S  ;MEDIA  ;   8  ; ESTREITO     ;   622.50 ;   558.05 ;    63.49 ;   1170.13  ;                   ;
  12  ;   1  ; S  ;MEDIA  ;  10  ; IGARAPAVA    ;   512.00 ;   495.00 ;    16.70 ;   1219.13  ;                   ;
  12  ;   1  ; S  ;MEDIA  ;  14  ; CACONDE      ;   845.37 ;   753.63 ;    89.86 ;     91.35  ;                   ;
  12  ;   1  ; S  ;MEDIA  ;  15  ; E. DA CUNHA  ;   665.00 ;   578.01 ;    85.06 ;    146.35  ;                   ;
  12  ;   1  ; S  ;MEDIA  ;  16  ; A.S.OLIVEIRA ;   573.00 ;   547.17 ;    25.48 ;    148.35  ;                   ;
  12  ;   1  ; S  ;MEDIA  ;  24  ; EMBORCACAO   ;   645.39 ;   523.33 ;   120.51 ;   1118.13  ;                   ;
  12  ;   1  ; S  ;MEDIA  ;  25  ; NOVA PONTE   ;   808.16 ;   697.33 ;   109.90 ;    497.31  ;                   ;
  12  ;   1  ; S  ;MEDIA  ;  26  ; MIRANDA      ;   695.99 ;   625.47 ;    68.12 ;    648.07  ;                   ;
  12  ;   1  ; S  ;MEDIA  ;  30  ; CORUMBA I    ;   588.59 ;   512.13 ;    75.22 ;     74.00  ;                   ;
  12  ;   1  ; S  ;MEDIA  ;  31  ; ITUMBIARA    ;   511.39 ;   434.45 ;    76.01 ;    956.35  ;                   ;
  12  ;   1  ; S  ;MEDIA  ;  32  ; CACH.DOURADA ;   434.12 ;   400.57 ;    32.90 ;   1068.35  ;                   ;
  12  ;   1  ; S  ;MEDIA  ;  33  ; SAO SIMAO    ;   399.73 ;   324.03 ;    75.23 ;   1252.38  ;                   ;
  13  ;   1  ; S  ;MEDIA  ;   6  ; FURNAS       ;   753.01 ;   671.73 ;    80.39 ;    102.00  ;                   ;
  13  ;   1  ; S  ;MEDIA  ;   7  ; M. DE MORAES ;   654.51 ;   622.50 ;    31.76 ;   1100.00  ;  AFOGOU           ;
  13  ;   1  ; S  ;MEDIA  ;   8  ; ESTREITO     ;   622.50 ;   558.01 ;    63.53 ;   1131.00  ;                   ;
  13  ;   1  ; S  ;MEDIA  ;  10  ; IGARAPAVA    ;   512.00 ;   494.98 ;    16.72 ;   1180.00  ;                   ;
  13  ;   1  ; S  ;MEDIA  ;  14  ; CACONDE      ;   845.37 ;   747.21 ;    96.16 ;      0.00  ;                   ;
  13  ;   1  ; S  ;MEDIA  ;  15  ; E. DA CUNHA  ;   665.00 ;   575.22 ;    87.79 ;     55.00  ;                   ;
  13  ;   1  ; S  ;MEDIA  ;  16  ; A.S.OLIVEIRA ;   573.00 ;   546.19 ;    26.44 ;     57.00  ;                   ;
  13  ;   1  ; S  ;MEDIA  ;  24  ; EMBORCACAO   ;   645.40 ;   519.57 ;   124.22 ;     64.62  ;                   ;
  13  ;   1  ; S  ;MEDIA  ;  25  ; NOVA PONTE   ;   808.16 ;   697.33 ;   109.90 ;    497.31  ;                   ;
  13  ;   1  ; S  ;MEDIA  ;  26  ; MIRANDA      ;   695.99 ;   625.30 ;    68.29 ;    508.44  ;                   ;
