***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Geraco das barras                                                                                   
  
-;----;-------;------;-------;---;--------------;----------;---------;----------;-----------;-----------;------------;------;------;
 ;    ;       ;      ;       ;   ;              ; Geracao  ;  Carga  ;    Liq   ;   Gmax    ;Max.trans  ;     CMO    ;      ;      ;
 ;IPER;  Pat  ; Ind  ; BAR   ;NV ;    Nome      ;  (MW)    ;   (MW)  ;   (MW)   ;   (MW)    ;    (MW)   ;  (R$/MWh)  ; Sist ; Area ;
-;----;-------;------;-------;---;--------------;----------;---------;----------;-----------;-----------;------------;------;------,
 ;  5 ;LEVE   ;    3 ;  0003 ; G ;     BARRA03  ;   200.00 ;  197.31 ;      2.69;   200.000 ;   900.000 ;     213.71 ;  S1  ;    1 ;
 ;  5 ;LEVE   ;    4 ;  0004 ; G ;     BARRA04  ;     0.00 ;   81.14 ;    -81.14;    80.400 ;   600.000 ;     213.71 ;  S1  ;    1 ;
 ;  5 ;LEVE   ;    5 ;  0005 ; G ;     BARRA05  ;    41.30 ;   77.84 ;    -36.54;   108.800 ;   600.000 ;     213.71 ;  S1  ;    1 ;
 ;  5 ;LEVE   ;    6 ;  0006 ; G ;     BARRA06  ;    -     ;  149.09 ;   -149.09;     0.000 ;   600.000 ;     213.71 ;  S1  ;    1 ;
 ;  5 ;LEVE   ;    7 ;  0007 ; G ;     BARRA07  ;   250.00 ;  137.01 ;    112.99;     0.000 ;   300.000 ;     213.71 ;  S1  ;    1 ;
 ;  5 ;LEVE   ;    8 ;  0008 ; G ;     BARRA08  ;    -     ;  187.48 ;   -187.48;     0.000 ;   900.000 ;     213.71 ;  S1  ;    1 ;
 ;  5 ;LEVE   ;    9 ;  0009 ; G ;     BARRA09  ;    -     ;  191.91 ;   -191.91;     0.000 ;  1500.000 ;     213.71 ;  S1  ;    1 ;
 ;  5 ;LEVE   ;   10 ;  0010 ; G ;     BARRA10  ;    -     ;  213.81 ;   -213.81;     0.000 ;  1500.000 ;     213.71 ;  S1  ;    1 ;
 ;  5 ;LEVE   ;   11 ;  0011 ; G ;     BARRA11  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     213.71 ;  S1  ;    1 ;
 ;  5 ;LEVE   ;   12 ;  0012 ; G ;     BARRA12  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     213.71 ;  S1  ;    1 ;
*;  5 ;LEVE   ;   13 ;  0013 ; G ;     BARRA13  ;   837.27 ;  290.52 ;    546.74;  1477.000 ;   900.000 ;     213.71 ;  S1  ;    1 ;
 ;  5 ;LEVE   ;   14 ;  0014 ; G ;     BARRA14  ;   220.00 ;  391.07 ;   -171.07;   220.000 ;   600.000 ;     213.71 ;  S2  ;    2 ;
*;  5 ;LEVE   ;   15 ;  0015 ; G ;     BARRA15  ;   129.12 ;  639.14 ;   -510.02;  1293.000 ;  1200.000 ;     213.71 ;  S2  ;    2 ;
 ;  5 ;LEVE   ;   16 ;  0016 ; G ;     BARRA16  ;    55.38 ;  201.59 ;   -146.21;  1192.000 ;  1200.000 ;     213.71 ;  S2  ;    2 ;
 ;  5 ;LEVE   ;   17 ;  0017 ; G ;     BARRA17  ;    -     ;   -     ;      0.00;     0.000 ;   900.000 ;     213.71 ;  S2  ;    2 ;
*;  5 ;LEVE   ;   18 ;  0018 ; G ;     BARRA18  ;   485.12 ;  671.38 ;   -186.26;  2082.000 ;   900.000 ;     213.71 ;  S2  ;    2 ;
 ;  5 ;LEVE   ;   19 ;  0019 ; G ;     BARRA19  ;    -     ;  365.03 ;   -365.03;     0.000 ;   900.000 ;     213.71 ;  S2  ;    2 ;
 ;  5 ;LEVE   ;   20 ;  0020 ; G ;     BARRA20  ;    -     ;  257.99 ;   -257.99;     0.000 ;  1200.000 ;     213.71 ;  S2  ;    2 ;
 ;  5 ;LEVE   ;   21 ;  0021 ; G ;     BARRA21  ;   400.00 ;   -     ;    400.00;     0.000 ;  1500.000 ;     213.71 ;  S2  ;    2 ;
*;  5 ;LEVE   ;   22 ;  0022 ; G ;     BARRA22  ;   552.76 ;   -     ;    552.76;  1513.000 ;   600.000 ;     213.71 ;  S2  ;    2 ;
 ;  5 ;LEVE   ;   23 ;  0023 ; G ;     BARRA23  ;     0.00 ;   -     ;      0.00;   855.000 ;  1200.000 ;     213.71 ;  S2  ;    2 ;
 ;  5 ;LEVE   ;   24 ;  0024 ; G ;     BARRA24  ;    -     ;   -     ;      0.00;     0.000 ;   600.000 ;     213.71 ;  S2  ;    2 ;
*;  6 ;LEVE   ;    1 ;  0001 ; G ;     BARRA01  ;   728.60 ;  147.10 ;    581.50;  1969.000 ;   900.000 ;     225.19 ;  S1  ;    1 ;
 ;  6 ;LEVE   ;    2 ;  0002 ; G ;     BARRA02  ;   377.53 ;  132.10 ;    245.43;   562.000 ;   900.000 ;     225.24 ;  S1  ;    1 ;
 ;  6 ;LEVE   ;    3 ;  0003 ; G ;     BARRA03  ;   200.00 ;  245.10 ;    -45.10;   200.000 ;   900.000 ;     223.63 ;  S1  ;    1 ;
 ;  6 ;LEVE   ;    4 ;  0004 ; G ;     BARRA04  ;     0.00 ;  100.80 ;   -100.80;    80.400 ;   600.000 ;     225.38 ;  S1  ;    1 ;
 ;  6 ;LEVE   ;    5 ;  0005 ; G ;     BARRA05  ;    41.30 ;   96.70 ;    -55.40;   108.800 ;   600.000 ;     225.51 ;  S1  ;    1 ;
