***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Geraco das barras                                                                                   
  
-;----;-------;------;-------;---;--------------;----------;---------;----------;-----------;-----------;------------;------;------;
 ;    ;       ;      ;       ;   ;              ; Geracao  ;  Carga  ;    Liq   ;   Gmax    ;Max.trans  ;     CMO    ;      ;      ;
 ;IPER;  Pat  ; Ind  ; BAR   ;NV ;    Nome      ;  (MW)    ;   (MW)  ;   (MW)   ;   (MW)    ;    (MW)   ;  (R$/MWh)  ; Sist ; Area ;
-;----;-------;------;-------;---;--------------;----------;---------;----------;-----------;-----------;------------;------;------,
 ; 12 ;MEDIA  ;   11 ;  0011 ; G ;     BARRA11  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     269.49 ;  S1  ;    1 ;
 ; 12 ;MEDIA  ;   12 ;  0012 ; G ;     BARRA12  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     256.09 ;  S1  ;    1 ;
*; 12 ;MEDIA  ;   13 ;  0013 ; G ;     BARRA13  ;   884.92 ;  463.10 ;    421.82;  1477.000 ;  1200.000 ;     258.47 ;  S1  ;    2 ;
 ; 12 ;MEDIA  ;   14 ;  0014 ; G ;     BARRA14  ;   220.00 ;  695.50 ;   -475.50;   220.000 ;   800.000 ;     288.84 ;  S2  ;    2 ;
 ; 12 ;MEDIA  ;   15 ;  0015 ; G ;     BARRA15  ;   981.17 ; 1136.00 ;   -154.83;  1293.000 ;  1600.000 ;     227.62 ;  S2  ;    2 ;
 ; 12 ;MEDIA  ;   16 ;  0016 ; G ;     BARRA16  ;  1214.22 ;  358.50 ;    855.72;  1192.000 ;  1600.000 ;     225.61 ;  S2  ;    2 ;
 ; 12 ;MEDIA  ;   17 ;  0017 ; G ;     BARRA17  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     226.31 ;  S2  ;    2 ;
*; 12 ;MEDIA  ;   18 ;  0018 ; G ;     BARRA18  ;   644.51 ; 1194.00 ;   -549.49;  2082.000 ;  1200.000 ;     226.65 ;  S2  ;    2 ;
 ; 12 ;MEDIA  ;   19 ;  0019 ; G ;     BARRA19  ;    -     ;  648.90 ;   -648.90;     0.000 ;  1200.000 ;     232.99 ;  S2  ;    2 ;
 ; 12 ;MEDIA  ;   20 ;  0020 ; G ;     BARRA20  ;    -     ;  458.90 ;   -458.90;     0.000 ;  1600.000 ;     239.31 ;  S2  ;    2 ;
 ; 12 ;MEDIA  ;   21 ;  0021 ; G ;     BARRA21  ;   400.00 ;   -     ;    400.00;     0.000 ;  2000.000 ;     226.95 ;  S2  ;    2 ;
*; 12 ;MEDIA  ;   22 ;  0022 ; G ;     BARRA22  ;   313.26 ;   -     ;    313.26;  1513.000 ;   800.000 ;     226.70 ;  S2  ;    2 ;
 ; 12 ;MEDIA  ;   23 ;  0023 ; G ;     BARRA23  ;   855.00 ;   -     ;    855.00;   855.000 ;  1600.000 ;     242.76 ;  S2  ;    2 ;
 ; 12 ;MEDIA  ;   24 ;  0024 ; G ;     BARRA24  ;    -     ;   -     ;      0.00;     0.000 ;   800.000 ;     235.06 ;  S2  ;    2 ;
*; 13 ;MEDIA  ;    1 ;  0001 ; G ;     BARRA01  ;   571.77 ;  141.15 ;    430.62;  1969.000 ;  1200.000 ;     225.20 ;  S1  ;    1 ;
 ; 13 ;MEDIA  ;    2 ;  0002 ; G ;     BARRA02  ;   377.53 ;  126.79 ;    250.74;   562.000 ;  1200.000 ;     225.25 ;  S1  ;    1 ;
 ; 13 ;MEDIA  ;    3 ;  0003 ; G ;     BARRA03  ;   200.00 ;  235.32 ;    -35.32;   200.000 ;  1200.000 ;     223.64 ;  S1  ;    1 ;
 ; 13 ;MEDIA  ;    4 ;  0004 ; G ;     BARRA04  ;     0.00 ;   96.72 ;    -96.72;    80.400 ;   800.000 ;     225.39 ;  S1  ;    1 ;
 ; 13 ;MEDIA  ;    5 ;  0005 ; G ;     BARRA05  ;    41.30 ;   92.83 ;    -51.53;   108.800 ;   800.000 ;     225.52 ;  S1  ;    1 ;
 ; 13 ;MEDIA  ;    6 ;  0006 ; G ;     BARRA06  ;    -     ;  177.80 ;   -177.80;     0.000 ;   800.000 ;     225.71 ;  S1  ;    1 ;
 ; 13 ;MEDIA  ;    7 ;  0007 ; G ;     BARRA07  ;   250.00 ;  163.44 ;     86.56;     0.000 ;   400.000 ;     225.68 ;  S1  ;    1 ;
 ; 13 ;MEDIA  ;    8 ;  0008 ; G ;     BARRA08  ;    -     ;  223.50 ;   -223.50;     0.000 ;  1200.000 ;     225.68 ;  S1  ;    1 ;
 ; 13 ;MEDIA  ;    9 ;  0009 ; G ;     BARRA09  ;    -     ;  228.74 ;   -228.74;     0.000 ;  2000.000 ;     225.50 ;  S1  ;    1 ;
 ; 13 ;MEDIA  ;   10 ;  0010 ; G ;     BARRA10  ;    -     ;  254.92 ;   -254.92;     0.000 ;  2000.000 ;     225.86 ;  S1  ;    1 ;
 ; 13 ;MEDIA  ;   11 ;  0011 ; G ;     BARRA11  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     225.96 ;  S1  ;    1 ;
 ; 13 ;MEDIA  ;   12 ;  0012 ; G ;     BARRA12  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     226.37 ;  S1  ;    1 ;
*; 13 ;MEDIA  ;   13 ;  0013 ; G ;     BARRA13  ;   837.27 ;  346.40 ;    490.87;  1477.000 ;  1200.000 ;     226.49 ;  S1  ;    2 ;
 ; 13 ;MEDIA  ;   14 ;  0014 ; G ;     BARRA14  ;   220.00 ;  520.23 ;   -300.23;   220.000 ;   800.000 ;     225.78 ;  S2  ;    2 ;
 ; 13 ;MEDIA  ;   15 ;  0015 ; G ;     BARRA15  ;   893.47 ;  849.73 ;     43.75;  1293.000 ;  1600.000 ;     220.51 ;  S2  ;    2 ;
 ; 13 ;MEDIA  ;   16 ;  0016 ; G ;     BARRA16  ;    70.17 ;  268.16 ;   -197.99;  1192.000 ;  1600.000 ;     225.61 ;  S2  ;    2 ;
 ; 13 ;MEDIA  ;   17 ;  0017 ; G ;     BARRA17  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     219.76 ;  S2  ;    2 ;
*; 13 ;MEDIA  ;   18 ;  0018 ; G ;     BARRA18  ;   876.77 ;  893.11 ;    -16.34;  2082.000 ;  1200.000 ;     219.95 ;  S2  ;    2 ;
 ; 13 ;MEDIA  ;   19 ;  0019 ; G ;     BARRA19  ;    -     ;  485.38 ;   -485.38;     0.000 ;  1200.000 ;     228.52 ;  S2  ;    2 ;
 ; 13 ;MEDIA  ;   20 ;  0020 ; G ;     BARRA20  ;    -     ;  343.26 ;   -343.26;     0.000 ;  1600.000 ;     227.98 ;  S2  ;    2 ;
 ; 13 ;MEDIA  ;   21 ;  0021 ; G ;     BARRA21  ;   400.00 ;   -     ;    400.00;     0.000 ;  2000.000 ;     220.13 ;  S2  ;    2 ;
*; 13 ;MEDIA  ;   22 ;  0022 ; G ;     BARRA22  ;   399.11 ;   -     ;    399.11;  1513.000 ;   800.000 ;     219.98 ;  S2  ;    2 ;
 ; 13 ;MEDIA  ;   23 ;  0023 ; G ;     BARRA23  ;   310.07 ;   -     ;    310.07;   855.000 ;  1600.000 ;     227.68 ;  S2  ;    2 ;
 ; 13 ;MEDIA  ;   24 ;  0024 ; G ;     BARRA24  ;    -     ;   -     ;      0.00;     0.000 ;   800.000 ;     221.70 ;  S2  ;    2 ;
*; 14 ;MEDIA  ;    1 ;  0001 ; G ;     BARRA01  ;    71.79 ;  138.69 ;    -66.90;  1969.000 ;  1200.000 ;     226.09 ;  S1  ;    1 ;
 ; 14 ;MEDIA  ;    2 ;  0002 ; G ;     BARRA02  ;   377.53 ;  124.58 ;    252.95;   562.000 ;  1200.000 ;     226.11 ;  S1  ;    1 ;
 ; 14 ;MEDIA  ;    3 ;  0003 ; G ;     BARRA03  ;   200.00 ;  231.23 ;    -31.23;   200.000 ;  1200.000 ;     225.35 ;  S1  ;    1 ;
 ; 14 ;MEDIA  ;    4 ;  0004 ; G ;     BARRA04  ;     0.00 ;   95.04 ;    -95.04;    80.400 ;   800.000 ;     226.18 ;  S1  ;    1 ;
 ; 14 ;MEDIA  ;    5 ;  0005 ; G ;     BARRA05  ;    41.30 ;   91.21 ;    -49.91;   108.800 ;   800.000 ;     226.24 ;  S1  ;    1 ;
 ; 14 ;MEDIA  ;    6 ;  0006 ; G ;     BARRA06  ;    -     ;  174.71 ;   -174.71;     0.000 ;   800.000 ;     226.33 ;  S1  ;    1 ;
 ; 14 ;MEDIA  ;    7 ;  0007 ; G ;     BARRA07  ;   250.00 ;  160.60 ;     89.40;     0.000 ;   400.000 ;     226.32 ;  S1  ;    1 ;
 ; 14 ;MEDIA  ;    8 ;  0008 ; G ;     BARRA08  ;    -     ;  219.62 ;   -219.62;     0.000 ;  1200.000 ;     226.32 ;  S1  ;    1 ;
 ; 14 ;MEDIA  ;    9 ;  0009 ; G ;     BARRA09  ;    -     ;  224.76 ;   -224.76;     0.000 ;  2000.000 ;     226.23 ;  S1  ;    1 ;
 ; 14 ;MEDIA  ;   10 ;  0010 ; G ;     BARRA10  ;    -     ;  250.49 ;   -250.49;     0.000 ;  2000.000 ;     226.40 ;  S1  ;    1 ;
 ; 14 ;MEDIA  ;   11 ;  0011 ; G ;     BARRA11  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     226.34 ;  S1  ;    1 ;
 ; 14 ;MEDIA  ;   12 ;  0012 ; G ;     BARRA12  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     226.76 ;  S1  ;    1 ;
*; 14 ;MEDIA  ;   13 ;  0013 ; G ;     BARRA13  ;   837.27 ;  368.16 ;    469.10;  1477.000 ;  1200.000 ;     226.79 ;  S1  ;    2 ;
 ; 14 ;MEDIA  ;   14 ;  0014 ; G ;     BARRA14  ;   220.00 ;  552.92 ;   -332.92;   220.000 ;   800.000 ;     225.96 ;  S2  ;    2 ;
 ; 14 ;MEDIA  ;   15 ;  0015 ; G ;     BARRA15  ;   981.60 ;  903.12 ;     78.48;  1293.000 ;  1600.000 ;     223.87 ;  S2  ;    2 ;
 ; 14 ;MEDIA  ;   16 ;  0016 ; G ;     BARRA16  ;   301.96 ;  285.01 ;     16.95;  1192.000 ;  1600.000 ;     225.61 ;  S2  ;    2 ;
 ; 14 ;MEDIA  ;   17 ;  0017 ; G ;     BARRA17  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     218.52 ;  S2  ;    2 ;
*; 14 ;MEDIA  ;   18 ;  0018 ; G ;     BARRA18  ;   938.14 ;  949.23 ;    -11.09;  2082.000 ;  1200.000 ;     219.90 ;  S2  ;    2 ;
 ; 14 ;MEDIA  ;   19 ;  0019 ; G ;     BARRA19  ;    -     ;  515.88 ;   -515.88;     0.000 ;  1200.000 ;     228.29 ;  S2  ;    2 ;
 ; 14 ;MEDIA  ;   20 ;  0020 ; G ;     BARRA20  ;    -     ;  364.83 ;   -364.83;     0.000 ;  1600.000 ;     227.90 ;  S2  ;    2 ;
 ; 14 ;MEDIA  ;   21 ;  0021 ; G ;     BARRA21  ;   400.00 ;   -     ;    400.00;     0.000 ;  2000.000 ;     221.15 ;  S2  ;    2 ;
*; 14 ;MEDIA  ;   22 ;  0022 ; G ;     BARRA22  ;   423.47 ;   -     ;    423.47;  1513.000 ;   800.000 ;     220.12 ;  S2  ;    2 ;
 ; 14 ;MEDIA  ;   23 ;  0023 ; G ;     BARRA23  ;   607.03 ;   -     ;    607.03;   855.000 ;  1600.000 ;     227.68 ;  S2  ;    2 ;
 ; 14 ;MEDIA  ;   24 ;  0024 ; G ;     BARRA24  ;    -     ;   -     ;      0.00;     0.000 ;   800.000 ;     224.44 ;  S2  ;    2 ;
*; 15 ;MEDIA  ;    1 ;  0001 ; G ;     BARRA01  ;    71.82 ;  137.56 ;    -65.75;  1969.000 ;  1200.000 ;     226.09 ;  S1  ;    1 ;
 ; 15 ;MEDIA  ;    2 ;  0002 ; G ;     BARRA02  ;   377.53 ;  123.57 ;    253.96;   562.000 ;  1200.000 ;     226.11 ;  S1  ;    1 ;
 ; 15 ;MEDIA  ;    3 ;  0003 ; G ;     BARRA03  ;   200.00 ;  229.34 ;    -29.34;   200.000 ;  1200.000 ;     225.35 ;  S1  ;    1 ;
 ; 15 ;MEDIA  ;    4 ;  0004 ; G ;     BARRA04  ;     0.00 ;   94.26 ;    -94.26;    80.400 ;   800.000 ;     226.18 ;  S1  ;    1 ;
 ; 15 ;MEDIA  ;    5 ;  0005 ; G ;     BARRA05  ;    41.30 ;   90.47 ;    -49.17;   108.800 ;   800.000 ;     226.24 ;  S1  ;    1 ;
 ; 15 ;MEDIA  ;    6 ;  0006 ; G ;     BARRA06  ;    -     ;  173.28 ;   -173.28;     0.000 ;   800.000 ;     226.33 ;  S1  ;    1 ;
 ; 15 ;MEDIA  ;    7 ;  0007 ; G ;     BARRA07  ;   250.00 ;  159.29 ;     90.71;     0.000 ;   400.000 ;     226.32 ;  S1  ;    1 ;
 ; 15 ;MEDIA  ;    8 ;  0008 ; G ;     BARRA08  ;    -     ;  217.83 ;   -217.83;     0.000 ;  1200.000 ;     226.32 ;  S1  ;    1 ;
 ; 15 ;MEDIA  ;    9 ;  0009 ; G ;     BARRA09  ;    -     ;  222.93 ;   -222.93;     0.000 ;  2000.000 ;     226.23 ;  S1  ;    1 ;
 ; 15 ;MEDIA  ;   10 ;  0010 ; G ;     BARRA10  ;    -     ;  248.44 ;   -248.44;     0.000 ;  2000.000 ;     226.40 ;  S1  ;    1 ;
 ; 15 ;MEDIA  ;   11 ;  0011 ; G ;     BARRA11  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     226.34 ;  S1  ;    1 ;
 ; 15 ;MEDIA  ;   12 ;  0012 ; G ;     BARRA12  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     226.76 ;  S1  ;    1 ;
*; 15 ;MEDIA  ;   13 ;  0013 ; G ;     BARRA13  ;   837.27 ;  355.66 ;    481.60;  1477.000 ;  1200.000 ;     226.79 ;  S1  ;    2 ;
 ; 15 ;MEDIA  ;   14 ;  0014 ; G ;     BARRA14  ;   220.00 ;  534.14 ;   -314.14;   220.000 ;   800.000 ;     225.96 ;  S2  ;    2 ;
 ; 15 ;MEDIA  ;   15 ;  0015 ; G ;     BARRA15  ;   890.19 ;  872.45 ;     17.75;  1293.000 ;  1600.000 ;     223.87 ;  S2  ;    2 ;
 ; 15 ;MEDIA  ;   16 ;  0016 ; G ;     BARRA16  ;   312.50 ;  275.33 ;     37.18;  1192.000 ;  1600.000 ;     225.61 ;  S2  ;    2 ;
 ; 15 ;MEDIA  ;   17 ;  0017 ; G ;     BARRA17  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     218.52 ;  S2  ;    2 ;
*; 15 ;MEDIA  ;   18 ;  0018 ; G ;     BARRA18  ;   927.65 ;  916.99 ;     10.66;  2082.000 ;  1200.000 ;     219.90 ;  S2  ;    2 ;
 ; 15 ;MEDIA  ;   19 ;  0019 ; G ;     BARRA19  ;    -     ;  498.36 ;   -498.36;     0.000 ;  1200.000 ;     228.29 ;  S2  ;    2 ;
 ; 15 ;MEDIA  ;   20 ;  0020 ; G ;     BARRA20  ;    -     ;  352.44 ;   -352.44;     0.000 ;  1600.000 ;     227.90 ;  S2  ;    2 ;
 ; 15 ;MEDIA  ;   21 ;  0021 ; G ;     BARRA21  ;   400.00 ;   -     ;    400.00;     0.000 ;  2000.000 ;     221.15 ;  S2  ;    2 ;
*; 15 ;MEDIA  ;   22 ;  0022 ; G ;     BARRA22  ;   419.31 ;   -     ;    419.31;  1513.000 ;   800.000 ;     220.12 ;  S2  ;    2 ;
 ; 15 ;MEDIA  ;   23 ;  0023 ; G ;     BARRA23  ;   554.76 ;   -     ;    554.76;   855.000 ;  1600.000 ;     227.68 ;  S2  ;    2 ;
 ; 15 ;MEDIA  ;   24 ;  0024 ; G ;     BARRA24  ;    -     ;   -     ;      0.00;     0.000 ;   800.000 ;     224.44 ;  S2  ;    2 ;
*; 16 ;MEDIA  ;    1 ;  0001 ; G ;     BARRA01  ;    71.84 ;  140.20 ;    -68.36;  1969.000 ;  1200.000 ;     226.09 ;  S1  ;    1 ;
 ; 16 ;MEDIA  ;    2 ;  0002 ; G ;     BARRA02  ;   377.53 ;  125.94 ;    251.59;   562.000 ;  1200.000 ;     226.11 ;  S1  ;    1 ;
 ; 16 ;MEDIA  ;    3 ;  0003 ; G ;     BARRA03  ;   200.00 ;  233.75 ;    -33.75;   200.000 ;  1200.000 ;     225.35 ;  S1  ;    1 ;
 ; 16 ;MEDIA  ;    4 ;  0004 ; G ;     BARRA04  ;     0.00 ;   96.07 ;    -96.07;    80.400 ;   800.000 ;     226.18 ;  S1  ;    1 ;
 ; 16 ;MEDIA  ;    5 ;  0005 ; G ;     BARRA05  ;    41.30 ;   92.21 ;    -50.91;   108.800 ;   800.000 ;     226.24 ;  S1  ;    1 ;
 ; 16 ;MEDIA  ;    6 ;  0006 ; G ;     BARRA06  ;    -     ;  176.61 ;   -176.61;     0.000 ;   800.000 ;     226.33 ;  S1  ;    1 ;
 ; 16 ;MEDIA  ;    7 ;  0007 ; G ;     BARRA07  ;   250.00 ;  162.35 ;     87.65;     0.000 ;   400.000 ;     226.32 ;  S1  ;    1 ;
 ; 16 ;MEDIA  ;    8 ;  0008 ; G ;     BARRA08  ;    -     ;  222.01 ;   -222.01;     0.000 ;  1200.000 ;     226.32 ;  S1  ;    1 ;
 ; 16 ;MEDIA  ;    9 ;  0009 ; G ;     BARRA09  ;    -     ;  227.21 ;   -227.21;     0.000 ;  2000.000 ;     226.23 ;  S1  ;    1 ;
 ; 16 ;MEDIA  ;   10 ;  0010 ; G ;     BARRA10  ;    -     ;  253.21 ;   -253.21;     0.000 ;  2000.000 ;     226.40 ;  S1  ;    1 ;
 ; 16 ;MEDIA  ;   11 ;  0011 ; G ;     BARRA11  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     226.34 ;  S1  ;    1 ;
 ; 16 ;MEDIA  ;   12 ;  0012 ; G ;     BARRA12  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     226.76 ;  S1  ;    1 ;
*; 16 ;MEDIA  ;   13 ;  0013 ; G ;     BARRA13  ;   837.27 ;  378.82 ;    458.45;  1477.000 ;  1200.000 ;     226.79 ;  S1  ;    2 ;
 ; 16 ;MEDIA  ;   14 ;  0014 ; G ;     BARRA14  ;   220.00 ;  568.92 ;   -348.92;   220.000 ;   800.000 ;     225.96 ;  S2  ;    2 ;
 ; 16 ;MEDIA  ;   15 ;  0015 ; G ;     BARRA15  ;   982.03 ;  929.25 ;     52.78;  1293.000 ;  1600.000 ;     223.87 ;  S2  ;    2 ;
 ; 16 ;MEDIA  ;   16 ;  0016 ; G ;     BARRA16  ;   346.97 ;  293.25 ;     53.72;  1192.000 ;  1600.000 ;     225.61 ;  S2  ;    2 ;
 ; 16 ;MEDIA  ;   17 ;  0017 ; G ;     BARRA17  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     218.52 ;  S2  ;    2 ;
*; 16 ;MEDIA  ;   18 ;  0018 ; G ;     BARRA18  ;   964.99 ;  976.69 ;    -11.70;  2082.000 ;  1200.000 ;     219.90 ;  S2  ;    2 ;
 ; 16 ;MEDIA  ;   19 ;  0019 ; G ;     BARRA19  ;    -     ;  530.80 ;   -530.80;     0.000 ;  1200.000 ;     228.29 ;  S2  ;    2 ;
 ; 16 ;MEDIA  ;   20 ;  0020 ; G ;     BARRA20  ;    -     ;  375.38 ;   -375.38;     0.000 ;  1600.000 ;     227.90 ;  S2  ;    2 ;
 ; 16 ;MEDIA  ;   21 ;  0021 ; G ;     BARRA21  ;   400.00 ;   -     ;    400.00;     0.000 ;  2000.000 ;     221.15 ;  S2  ;    2 ;
*; 16 ;MEDIA  ;   22 ;  0022 ; G ;     BARRA22  ;   434.13 ;   -     ;    434.13;  1513.000 ;   800.000 ;     220.12 ;  S2  ;    2 ;
 ; 16 ;MEDIA  ;   23 ;  0023 ; G ;     BARRA23  ;   656.61 ;   -     ;    656.61;   855.000 ;  1600.000 ;     227.68 ;  S2  ;    2 ;
 ; 16 ;MEDIA  ;   24 ;  0024 ; G ;     BARRA24  ;    -     ;   -     ;      0.00;     0.000 ;   800.000 ;     224.44 ;  S2  ;    2 ;
*; 17 ;MEDIA  ;    1 ;  0001 ; G ;     BARRA01  ;    71.86 ;  142.09 ;    -70.23;  1969.000 ;  1200.000 ;     226.09 ;  S1  ;    1 ;
 ; 17 ;MEDIA  ;    2 ;  0002 ; G ;     BARRA02  ;   377.53 ;  127.63 ;    249.89;   562.000 ;  1200.000 ;     226.11 ;  S1  ;    1 ;
 ; 17 ;MEDIA  ;    3 ;  0003 ; G ;     BARRA03  ;   200.00 ;  236.89 ;    -36.89;   200.000 ;  1200.000 ;     225.35 ;  S1  ;    1 ;
 ; 17 ;MEDIA  ;    4 ;  0004 ; G ;     BARRA04  ;     0.00 ;   97.36 ;    -97.36;    80.400 ;   800.000 ;     226.18 ;  S1  ;    1 ;
 ; 17 ;MEDIA  ;    5 ;  0005 ; G ;     BARRA05  ;    41.30 ;   93.45 ;    -52.15;   108.800 ;   800.000 ;     226.24 ;  S1  ;    1 ;
 ; 17 ;MEDIA  ;    6 ;  0006 ; G ;     BARRA06  ;    -     ;  178.99 ;   -178.99;     0.000 ;   800.000 ;     226.33 ;  S1  ;    1 ;
 ; 17 ;MEDIA  ;    7 ;  0007 ; G ;     BARRA07  ;   250.00 ;  164.53 ;     85.47;     0.000 ;   400.000 ;     226.32 ;  S1  ;    1 ;
 ; 17 ;MEDIA  ;    8 ;  0008 ; G ;     BARRA08  ;    -     ;  225.00 ;   -225.00;     0.000 ;  1200.000 ;     226.32 ;  S1  ;    1 ;
 ; 17 ;MEDIA  ;    9 ;  0009 ; G ;     BARRA09  ;    -     ;  230.27 ;   -230.27;     0.000 ;  2000.000 ;     226.23 ;  S1  ;    1 ;
 ; 17 ;MEDIA  ;   10 ;  0010 ; G ;     BARRA10  ;    -     ;  256.62 ;   -256.62;     0.000 ;  2000.000 ;     226.40 ;  S1  ;    1 ;
 ; 17 ;MEDIA  ;   11 ;  0011 ; G ;     BARRA11  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     226.34 ;  S1  ;    1 ;
 ; 17 ;MEDIA  ;   12 ;  0012 ; G ;     BARRA12  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     226.76 ;  S1  ;    1 ;
*; 17 ;MEDIA  ;   13 ;  0013 ; G ;     BARRA13  ;   837.27 ;  390.39 ;    446.87;  1477.000 ;  1200.000 ;     226.79 ;  S1  ;    2 ;
 ; 17 ;MEDIA  ;   14 ;  0014 ; G ;     BARRA14  ;   220.00 ;  586.31 ;   -366.31;   220.000 ;   800.000 ;     225.96 ;  S2  ;    2 ;
 ; 17 ;MEDIA  ;   15 ;  0015 ; G ;     BARRA15  ;   982.24 ;  957.65 ;     24.60;  1293.000 ;  1600.000 ;     223.87 ;  S2  ;    2 ;
 ; 17 ;MEDIA  ;   16 ;  0016 ; G ;     BARRA16  ;   397.44 ;  302.22 ;     95.22;  1192.000 ;  1600.000 ;     225.61 ;  S2  ;    2 ;
 ; 17 ;MEDIA  ;   17 ;  0017 ; G ;     BARRA17  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     218.52 ;  S2  ;    2 ;
*; 17 ;MEDIA  ;   18 ;  0018 ; G ;     BARRA18  ;   994.41 ; 1006.54 ;    -12.13;  2082.000 ;  1200.000 ;     219.90 ;  S2  ;    2 ;
 ; 17 ;MEDIA  ;   19 ;  0019 ; G ;     BARRA19  ;    -     ;  547.02 ;   -547.02;     0.000 ;  1200.000 ;     228.29 ;  S2  ;    2 ;
 ; 17 ;MEDIA  ;   20 ;  0020 ; G ;     BARRA20  ;    -     ;  386.85 ;   -386.85;     0.000 ;  1600.000 ;     227.90 ;  S2  ;    2 ;
 ; 17 ;MEDIA  ;   21 ;  0021 ; G ;     BARRA21  ;   400.00 ;   -     ;    400.00;     0.000 ;  2000.000 ;     221.15 ;  S2  ;    2 ;
*; 17 ;MEDIA  ;   22 ;  0022 ; G ;     BARRA22  ;   445.81 ;   -     ;    445.81;  1513.000 ;   800.000 ;     220.12 ;  S2  ;    2 ;
 ; 17 ;MEDIA  ;   23 ;  0023 ; G ;     BARRA23  ;   711.95 ;   -     ;    711.95;   855.000 ;  1600.000 ;     227.68 ;  S2  ;    2 ;
 ; 17 ;MEDIA  ;   24 ;  0024 ; G ;     BARRA24  ;    -     ;   -     ;      0.00;     0.000 ;   800.000 ;     224.44 ;  S2  ;    2 ;
*; 18 ;MEDIA  ;    1 ;  0001 ; G ;     BARRA01  ;    71.89 ;  145.30 ;    -73.41;  1969.000 ;  1200.000 ;     226.09 ;  S1  ;    1 ;
 ; 18 ;MEDIA  ;    2 ;  0002 ; G ;     BARRA02  ;   377.53 ;  130.52 ;    247.01;   562.000 ;  1200.000 ;     226.11 ;  S1  ;    1 ;
 ; 18 ;MEDIA  ;    3 ;  0003 ; G ;     BARRA03  ;   200.00 ;  242.24 ;    -42.24;   200.000 ;  1200.000 ;     225.35 ;  S1  ;    1 ;
 ; 18 ;MEDIA  ;    4 ;  0004 ; G ;     BARRA04  ;     0.00 ;   99.56 ;    -99.56;    80.400 ;   800.000 ;     226.18 ;  S1  ;    1 ;
 ; 18 ;MEDIA  ;    5 ;  0005 ; G ;     BARRA05  ;    41.30 ;   95.56 ;    -54.26;   108.800 ;   800.000 ;     226.24 ;  S1  ;    1 ;
 ; 18 ;MEDIA  ;    6 ;  0006 ; G ;     BARRA06  ;    -     ;  183.03 ;   -183.03;     0.000 ;   800.000 ;     226.33 ;  S1  ;    1 ;
 ; 18 ;MEDIA  ;    7 ;  0007 ; G ;     BARRA07  ;   250.00 ;  168.25 ;     81.75;     0.000 ;   400.000 ;     226.32 ;  S1  ;    1 ;
 ; 18 ;MEDIA  ;    8 ;  0008 ; G ;     BARRA08  ;    -     ;  230.08 ;   -230.08;     0.000 ;  1200.000 ;     226.32 ;  S1  ;    1 ;
 ; 18 ;MEDIA  ;    9 ;  0009 ; G ;     BARRA09  ;    -     ;  235.47 ;   -235.47;     0.000 ;  2000.000 ;     226.23 ;  S1  ;    1 ;
 ; 18 ;MEDIA  ;   10 ;  0010 ; G ;     BARRA10  ;    -     ;  262.42 ;   -262.42;     0.000 ;  2000.000 ;     226.40 ;  S1  ;    1 ;
 ; 18 ;MEDIA  ;   11 ;  0011 ; G ;     BARRA11  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     226.34 ;  S1  ;    1 ;
 ; 18 ;MEDIA  ;   12 ;  0012 ; G ;     BARRA12  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     226.76 ;  S1  ;    1 ;
*; 18 ;MEDIA  ;   13 ;  0013 ; G ;     BARRA13  ;   837.27 ;  386.69 ;    450.58;  1477.000 ;  1200.000 ;     226.79 ;  S1  ;    2 ;
 ; 18 ;MEDIA  ;   14 ;  0014 ; G ;     BARRA14  ;   220.00 ;  580.74 ;   -360.74;   220.000 ;   800.000 ;     225.96 ;  S2  ;    2 ;
