***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
 Relatorio dos fluxos nas linhas
  
----;-------;--;-;-;-;-;------;----;------;------;----;------;----;-----;-----------;-----------;-----------;--------;-----------;-----------;-----------;-----------;-----------;
    ;       ;FLAGS;;;;;       ;    ; BAR  ; Sist ;    ; BAR  ;Sist;     ;   Fluxo   ;   Capac   ;         Perdas    ;;  Multipl. ;  ger de   ; ger para  ; carga de  ;carga para ;
IPER;  Pat  ;  ; ; ; ; ; IND  ; Nv ; DE   ;  De  ; Nv ; PARA ;para; CIR ;    (MW)   ;    (MW)   ;    (MW)   ;   %    ;  ($/MWh)  ;   (MW)    ;   (MW)    ;   (MW)    ;   (MW)    ;
----;-------;--;-;-;-;-;------;----;------;------;----;------;----;-----;-----------;-----------;-----------;--------;-----------;-----------;-----------;-----------;-----------;
   1; LEVE  ;  ; ; ; ; ;   34 ; G  ; 00019;  S2  ; G  ; 00020; S2 ;   1 ;   -55.331 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   428.194 ;   302.630 ;
   1; LEVE  ;  ; ; ; ; ;   35 ; G  ; 00019;  S2  ; G  ; 00020; S2 ;   2 ;   -55.331 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   428.194 ;   302.630 ;
   1; LEVE  ;  ; ; ; ; ;   36 ; G  ; 00020;  S2  ; G  ; 00023; S2 ;   1 ;  -206.646 ;       300 ;           ;        ;     0.000 ;     -     ;   307.216 ;   302.630 ;     -     ;
   1; LEVE  ;  ; ; ; ; ;   37 ; G  ; 00020;  S2  ; G  ; 00023; S2 ;   2 ;  -206.646 ;       300 ;           ;        ;     0.000 ;     -     ;   307.216 ;   302.630 ;     -     ;
   1; LEVE  ;  ; ; ; ; ;   38 ; G  ; 00021;  S2  ; G  ; 00022; S2 ;   1 ;  -166.002 ;       300 ;           ;        ;     0.000 ;   400.000 ;   322.766 ;     -     ;     -     ;
   2; LEVE  ;  ; ; ; ; ;    1 ; G  ; 00001;  S1  ; G  ; 00002; S1 ;   1 ;   161.110 ;       300 ;           ;        ;     0.000 ;   728.506 ;   377.528 ;   133.420 ;   119.815 ;
   2; LEVE  ;  ; ; ; ; ;    2 ; G  ; 00001;  S1  ; G  ; 00003; S1 ;   1 ;   165.037 ;       300 ;           ;        ;     0.000 ;   728.506 ;   200.000 ;   133.420 ;   222.306 ;
   2; LEVE  ;  ; ; ; ; ;    3 ; G  ; 00001;  S1  ; G  ; 00005; S1 ;   1 ;   268.940 ;       300 ;           ;        ;     0.000 ;   728.506 ;    41.300 ;   133.420 ;    87.707 ;
   2; LEVE  ;  ; ; ; ; ;    4 ; G  ; 00002;  S1  ; G  ; 00004; S1 ;   1 ;   219.622 ;       300 ;           ;        ;     0.000 ;   377.528 ;     -     ;   119.815 ;    91.426 ;
   2; LEVE  ;  ; ; ; ; ;    5 ; G  ; 00002;  S1  ; G  ; 00006; S1 ;   1 ;   199.201 ;       300 ;           ;        ;     0.000 ;   377.528 ;     -     ;   119.815 ;   167.976 ;
   2; LEVE  ;  ; ; ; ; ;    6 ; G  ; 00003;  S1  ; G  ; 00009; S1 ;   1 ;    71.460 ;       300 ;           ;        ;     0.000 ;   200.000 ;     -     ;   222.306 ;   216.229 ;
   2; LEVE  ;  ; ; ; ; ;    7 ; G  ; 00003;  S1  ; G  ; 00024; S2 ;   1 ;    71.272 ;       300 ;           ;        ;     0.000 ;   200.000 ;     -     ;   222.306 ;     -     ;
   2; LEVE  ;  ; ; ; ; ;    8 ; G  ; 00004;  S1  ; G  ; 00009; S1 ;   1 ;   128.197 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;    91.426 ;   216.229 ;
   2; LEVE  ;  ; ; ; ; ;    9 ; G  ; 00005;  S1  ; G  ; 00010; S1 ;   1 ;   222.533 ;       300 ;           ;        ;     0.000 ;    41.300 ;     -     ;    87.707 ;   240.899 ;
   2; LEVE  ;  ; ; ; ; ;   10 ; G  ; 00006;  S1  ; G  ; 00010; S1 ;   1 ;    31.224 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   167.976 ;   240.899 ;
   2; LEVE  ; R; ; ; ; ;   11 ; G  ; 00007;  S1  ; G  ; 00008; S1 ;   1 ;    95.629 ;       300 ;           ;        ;     0.000 ;   250.000 ;     -     ;   154.371 ;   211.240 ;
   2; LEVE  ;  ; ; ; ; ;   12 ; G  ; 00008;  S1  ; G  ; 00009; S1 ;   1 ;   -54.824 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   211.240 ;   216.229 ;
   2; LEVE  ;  ; ; ; ; ;   13 ; G  ; 00008;  S1  ; G  ; 00010; S1 ;   1 ;   -60.787 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   211.240 ;   240.899 ;
   2; LEVE  ;  ; ; ; ; ;   14 ; G  ; 00009;  S1  ; G  ; 00011; S1 ;   1 ;   -17.282 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   216.229 ;     -     ;
