-----;--------------;-----;---------------------;---------------------;---------------------;-------;---------------------;-------;---------------------;-------;---------------------;-------;---------------------;-------;---------------------;-------;
USIH ;   NomeUsih   ;ICOEF;    Cota X Volume    ;     Area X Cota     ;Cota X Vazao (Hjus1) ; Hjus1 ;Cota X Vazao (Hjus2) ; Hjus2 ;Cota X Vazao (Hjus3) ; Hjus3 ;Cota X Vazao (Hjus4) ; Hjus4 ;Cota X Vazao (Hjus5) ; Hjus5 ;Cota X Vazao (Hjus6) ; Hjus6 ;
  -  ;      -       ;  -  ;  (m/((hm3)^(IND)))  ;  (m/((km2)^(IND)))  ;  (m/((km2)^(IND)))  ;  (m)  ;  (m/((km2)^(IND)))  ;  (m)  ;  (m/((km2)^(IND)))  ;  (m)  ;  (m/((km2)^(IND)))  ;  (m)  ;  (m/((km2)^(IND)))  ;  (m)  ;  (m/((km2)^(IND)))  ;  (m)  ;
-----;--------------;-----;---------------------;---------------------;---------------------;-------;---------------------;-------;---------------------;-------;---------------------;-------;---------------------;-------;---------------------;-------;
 016 ; A.S.OLIVEIRA ;  0  ;      0.57300000E+03 ;      0.27000000E+01 ;      0.54535602E+03 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 016 ; A.S.OLIVEIRA ;  1  ;      0.00000000E+00 ;      0.00000000E+00 ;      0.16598601E-01 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 016 ; A.S.OLIVEIRA ;  2  ;      0.00000000E+00 ;      0.00000000E+00 ;     -0.36417390E-04 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 016 ; A.S.OLIVEIRA ;  3  ;      0.00000000E+00 ;      0.00000000E+00 ;      0.51249302E-07 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 016 ; A.S.OLIVEIRA ;  4  ;      0.00000000E+00 ;      0.00000000E+00 ;     -0.26363490E-10 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 024 ; EMBORCACAO   ;  0  ;      0.56808978E+03 ;     -0.18194400E+05 ;      0.51931982E+03 ; 512.00;      0.51930981E+03 ; 514.00;      0.51952979E+03 ; 516.00;      0.51978979E+03 ; 518.00;      0.51992987E+03 ; 520.00;      0.00000000E+00 ;   0.00;
 024 ; EMBORCACAO   ;  1  ;      0.14506000E-01 ;      0.56577591E+02 ;      0.39399969E-02 ; 512.00;      0.24900001E-02 ; 514.00;      0.27800000E-02 ; 516.00;      0.16100000E-02 ; 518.00;      0.16300000E-02 ; 520.00;      0.00000000E+00 ;   0.00;
 024 ; EMBORCACAO   ;  2  ;     -0.12027990E-05 ;      0.45182802E-01 ;     -0.35999989E-06 ; 512.00;      0.34399989E-06 ; 514.00;      0.40400000E-07 ; 516.00;      0.84800001E-06 ; 518.00;      0.54799989E-06 ; 520.00;      0.00000000E+00 ;   0.00;
 024 ; EMBORCACAO   ;  3  ;      0.58302987E-10 ;     -0.29121901E-03 ;      0.43299989E-10 ; 512.00;     -0.61999988E-10 ; 514.00;      0.27699999E-11 ; 516.00;     -0.12000000E-09 ; 518.00;     -0.78999987E-10 ; 520.00;      0.00000000E+00 ;   0.00;
 024 ; EMBORCACAO   ;  4  ;     -0.11245000E-14 ;      0.23906989E-06 ;     -0.26000000E-14 ; 512.00;      0.32999999E-14 ; 514.00;     -0.48999988E-15 ; 516.00;      0.45300000E-14 ; 518.00;      0.38299980E-14 ; 520.00;      0.00000000E+00 ;   0.00;
 025 ; NOVA PONTE   ;  0  ;      0.75214990E+03 ;     -0.32349300E+06 ;      0.69329590E+03 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 025 ; NOVA PONTE   ;  1  ;      0.12283500E-01 ;      0.93000201E+03 ;      0.12572100E-01 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 025 ; NOVA PONTE   ;  2  ;     -0.12568800E-05 ;     -0.38523600E+00 ;     -0.12688200E-04 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 025 ; NOVA PONTE   ;  3  ;      0.78525089E-10 ;     -0.87983877E-03 ;      0.85119467E-08 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 025 ; NOVA PONTE   ;  4  ;     -0.19786300E-14 ;      0.67580589E-06 ;     -0.21422900E-11 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 026 ; MIRANDA      ;  0  ;      0.68470288E+03 ;      0.63431301E+05 ;      0.62452490E+03 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 026 ; MIRANDA      ;  1  ;     -0.40190001E-02 ;     -0.95599792E+02 ;      0.17833000E-02 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 026 ; MIRANDA      ;  2  ;     -0.79360302E-06 ;     -0.65936267E-01 ;     -0.59841398E-06 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 026 ; MIRANDA      ;  3  ;      0.27851300E-07 ;      0.24619791E-04 ;      0.15994001E-09 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
