-----;-----;--------------;----------;----------;---------;---------;---------;----;----------;----------;------------;------------;------;
USIH ;IPER ;   NomeUsih   ; Varm Med ;  Vutil   ;  Qtur   ;  Qver   ;  Qjus   ;Afog;Ghid (FPH);Ghid (FPHA; Desvio Abs ; DesvioPerc ;Vtfuga;
  -  ;  -  ;      -       ;  (hm3)   ;   (%)    ; (m3/s)  ; (m3/s)  ; (m3/s)  ;    ;   (MW)   ;   (MW)   ;    (MW)    ;    (%)     ;  -   ;
-----;-----;--------------;----------;----------;---------;---------;---------;----;----------;----------;------------;------------;------;
 024 ;   6 ; EMBORCACAO   ;    -     ;    53.59 ;   110.41;     0.00;     0.00;  0 ;   119.55 ;   119.90 ;       0.35 ;       0.29 ;   0  ;
 025 ;   6 ; NOVA PONTE   ;    -     ;    73.47 ;   330.77;     0.00;     0.00;  0 ;   338.21 ;   339.21 ;       1.00 ;       0.30 ;   1  ;
 026 ;   6 ; MIRANDA      ;    -     ;    99.70 ;   648.07;     0.00;     0.00;  0 ;   402.44 ;   408.00 ;       5.56 ;       1.38 ;   0  ;
 030 ;   6 ; CORUMBA I    ;    -     ;    64.03 ;    74.00;     0.00;     0.00;  0 ;    49.53 ;    61.87 ;      12.34 ;      24.92 ;   1  ;
 031 ;   6 ; ITUMBIARA    ;    -     ;    54.08 ;  1122.82;     0.00;     0.00;  0 ;   751.28 ;   756.70 ;       5.42 ;       0.72 ;   1  ;
 032 ;   6 ; CACH.DOURADA ;    -     ;   100.00 ;  1234.82;     0.00;     0.00;  0 ;   351.80 ;   351.44 ;      -0.37 ;      -0.10 ;   1  ;
 033 ;   6 ; SAO SIMAO    ;    -     ;    85.34 ;   615.61;     0.00;     0.00;  0 ;   419.25 ;   420.28 ;       1.03 ;       0.25 ;   0  ;
 006 ;   7 ; FURNAS       ;    -     ;    10.26 ;   102.00;     0.00;     0.00;  0 ;    70.76 ;    71.63 ;       0.87 ;       1.23 ;   1  ;
 007 ;   7 ; M. DE MORAES ;    -     ;     9.21 ;  1100.00;     0.00;     0.00;  1 ;   292.39 ;   293.53 ;       1.14 ;       0.39 ;   1  ;
 008 ;   7 ; ESTREITO     ;    -     ;   100.00 ;  1131.00;     0.00;     0.00;  0 ;   634.42 ;   646.81 ;      12.39 ;       1.95 ;   1  ;
 010 ;   7 ; IGARAPAVA    ;    -     ;   100.00 ;  1180.00;     0.00;     0.00;  0 ;   178.09 ;   178.03 ;      -0.06 ;      -0.03 ;   1  ;
 014 ;   7 ; CACONDE      ;    -     ;    50.39 ;     0.00;     0.00;     0.00;  0 ;     0.00 ;     0.00 ;       0.00 ;       0.00 ;   1  ;
 015 ;   7 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 016 ;   7 ; A.S.OLIVEIRA ;    -     ;   100.00 ;    57.00;     0.00;     0.00;  0 ;    12.42 ;    12.43 ;       0.01 ;       0.09 ;   1  ;
 024 ;   7 ; EMBORCACAO   ;    -     ;    53.61 ;   110.40;     0.00;     0.00;  0 ;   119.55 ;   119.89 ;       0.34 ;       0.29 ;   0  ;
 025 ;   7 ; NOVA PONTE   ;    -     ;    73.47 ;   330.55;     0.00;     0.00;  0 ;   338.00 ;   338.99 ;       0.99 ;       0.29 ;   1  ;
 026 ;   7 ; MIRANDA      ;    -     ;    99.11 ;   648.07;     0.00;     0.00;  0 ;   402.34 ;   408.00 ;       5.66 ;       1.41 ;   0  ;
 030 ;   7 ; CORUMBA I    ;    -     ;    64.23 ;    74.00;     0.00;     0.00;  0 ;    49.56 ;    62.09 ;      12.53 ;      25.29 ;   1  ;
 031 ;   7 ; ITUMBIARA    ;    -     ;    54.08 ;  1122.82;     0.00;     0.00;  0 ;   751.29 ;   756.70 ;       5.41 ;       0.72 ;   1  ;
 032 ;   7 ; CACH.DOURADA ;    -     ;   100.00 ;  1234.82;     0.00;     0.00;  0 ;   351.80 ;   351.44 ;      -0.37 ;      -0.10 ;   1  ;
 033 ;   7 ; SAO SIMAO    ;    -     ;    85.45 ;   615.60;     0.00;     0.00;  0 ;   419.30 ;   420.27 ;       0.97 ;       0.23 ;   0  ;
 006 ;   8 ; FURNAS       ;    -     ;    10.29 ;   102.00;     0.00;     0.00;  0 ;    70.76 ;    71.65 ;       0.89 ;       1.26 ;   1  ;
 007 ;   8 ; M. DE MORAES ;    -     ;     9.08 ;  1100.00;     0.00;     0.00;  1 ;   292.21 ;   293.53 ;       1.31 ;       0.45 ;   1  ;
