-----;-----;------;--------------;--------;--------;-------;--------;---------;---------;---------;---------;---------;-----;-----;---;---------;----------;---------;---------;----------;------------;------------;------------------------------;------------;------------;-----;------------;
IPER ;USIT ;UNIDT ;  Nome Usit   ;NomeSist;NumBarra;NOscil.;GtMinMax;  Gtmin  ;Gtminunid;  Gtmax  ;Gtmaxunid;GtminAcio; Ton ;Toff ;Sta;  GTER   ;  Tempo   ; CustLin ;  CSTF   ;   CMO    ;    CMB     ;  DualUnid  ;          Titulacao           ;   RAMPUP   ;   RAMPDN   ;UEQV ; RAMPTRANS  ;
  -  ;  -  ;  -   ;      -       ;   -    ;   -    ;   -   ;   -    ;  (MW)   ;  (MW)   ;  (MW)   ;  (MW)   ;  (MW)   ; (h) ; (h) ; - ;  (MW)   ;   (h)    ; ($/MWh) ;  (MW)   ; (R$/MWh) ;  (R$/MWh)  ;     $      ;              -               ;     MW     ;     MW     ;     ;     MW     ;
-----;-----;------;--------------;--------;--------;-------;--------;---------;---------;---------;---------;---------;-----;-----;---;---------;----------;---------;---------;----------;------------;------------;------------------------------;------------;------------;-----;------------;
   8 ; 004 ; 001  ; ST.CRUZ 34   ; S2     ;    14  ;   0   ;   0    ;     0.00;     0.00;  220.000;   220.00;    50.00;  5  ;  5  ;1  ;   220.00;     18.0 ;  210.410;     0.00;  219.970 ;         21 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    2200.00 ;
   9 ; 001 ; 001  ; ANGRA 1      ; S1     ;     1  ;   0   ;   0    ;     0.00;     0.00;  657.000;   657.00;   500.00; 13  ;  5  ;1  ;   657.00;      9.0 ;  200.000;     0.00;  219.970 ;         21 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    6570.00 ;
   9 ; 002 ; 001  ; IGARAPE      ; S1     ;    13  ;   0   ;   0    ;     0.00;     0.00;  131.000;   131.00;    50.00;  5  ;  5  ;0  ;     0.00;     -9.0 ;  253.430;     0.00;  219.970 ;         21 ;       0.00 ; Sem geracao                  ; 1000000.00 ; 1000000.00 ;   0 ;    1310.00 ;
   9 ; 003 ; 001  ; ST.CRUZ 12   ; S1     ;     2  ;   0   ;   0    ;     0.00;     0.00;   84.000;    84.00;    50.00;  5  ;  5  ;1  ;    84.00;     19.0 ;  210.000;     0.00;  219.970 ;         21 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;     840.00 ;
   9 ; 050 ; 001  ; PIRAT.12 G   ; S1     ;     3  ;   0   ;   0    ;     0.00;     0.00;  200.000;   200.00;    50.00;  5  ;  5  ;1  ;   200.00;      9.0 ;  205.340;     0.00;  219.970 ;         21 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    2000.00 ;
   9 ; 004 ; 001  ; ST.CRUZ 34   ; S2     ;    14  ;   0   ;   0    ;     0.00;     0.00;  220.000;   220.00;    50.00;  5  ;  5  ;1  ;   220.00;     19.0 ;  210.410;     0.00;  219.970 ;         21 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    2200.00 ;
  10 ; 001 ; 001  ; ANGRA 1      ; S1     ;     1  ;   0   ;   0    ;     0.00;     0.00;  657.000;   657.00;   500.00; 13  ;  5  ;1  ;   657.00;     10.0 ;  200.000;     0.00;  220.660 ;         22 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    6570.00 ;
  10 ; 002 ; 001  ; IGARAPE      ; S1     ;    13  ;   0   ;   0    ;     0.00;     0.00;  131.000;   131.00;    50.00;  5  ;  5  ;0  ;     0.00;    -10.0 ;  253.430;     0.00;  220.660 ;         22 ;       0.00 ; Sem geracao                  ; 1000000.00 ; 1000000.00 ;   0 ;    1310.00 ;
  10 ; 003 ; 001  ; ST.CRUZ 12   ; S1     ;     2  ;   0   ;   0    ;     0.00;     0.00;   84.000;    84.00;    50.00;  5  ;  5  ;1  ;    84.00;     20.0 ;  210.000;     0.00;  220.660 ;         22 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;     840.00 ;
  10 ; 050 ; 001  ; PIRAT.12 G   ; S1     ;     3  ;   0   ;   0    ;     0.00;     0.00;  200.000;   200.00;    50.00;  5  ;  5  ;1  ;   200.00;     10.0 ;  205.340;     0.00;  220.660 ;         22 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    2000.00 ;
  10 ; 004 ; 001  ; ST.CRUZ 34   ; S2     ;    14  ;   0   ;   0    ;     0.00;     0.00;  220.000;   220.00;    50.00;  5  ;  5  ;1  ;   220.00;     20.0 ;  210.410;     0.00;  220.450 ;         22 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    2200.00 ;
  11 ; 001 ; 001  ; ANGRA 1      ; S1     ;     1  ;   0   ;   0    ;     0.00;     0.00;  657.000;   657.00;   500.00; 13  ;  5  ;1  ;   657.00;     11.0 ;  200.000;     0.00;  219.970 ;         21 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    6570.00 ;
  11 ; 002 ; 001  ; IGARAPE      ; S1     ;    13  ;   0   ;   0    ;     0.00;     0.00;  131.000;   131.00;    50.00;  5  ;  5  ;0  ;     0.00;    -11.0 ;  253.430;     0.00;  219.970 ;         21 ;       0.00 ; Sem geracao                  ; 1000000.00 ; 1000000.00 ;   0 ;    1310.00 ;
  11 ; 003 ; 001  ; ST.CRUZ 12   ; S1     ;     2  ;   0   ;   0    ;     0.00;     0.00;   84.000;    84.00;    50.00;  5  ;  5  ;1  ;    84.00;     21.0 ;  210.000;     0.00;  219.970 ;         21 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;     840.00 ;
  11 ; 050 ; 001  ; PIRAT.12 G   ; S1     ;     3  ;   0   ;   0    ;     0.00;     0.00;  200.000;   200.00;    50.00;  5  ;  5  ;1  ;   200.00;     11.0 ;  205.340;     0.00;  219.970 ;         21 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    2000.00 ;
  11 ; 004 ; 001  ; ST.CRUZ 34   ; S2     ;    14  ;   0   ;   0    ;     0.00;     0.00;  220.000;   220.00;    50.00;  5  ;  5  ;1  ;   220.00;     21.0 ;  210.410;     0.00;  219.970 ;         21 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    2200.00 ;
  12 ; 001 ; 001  ; ANGRA 1      ; S1     ;     1  ;   0   ;   0    ;     0.00;     0.00;  657.000;   657.00;   500.00; 13  ;  5  ;1  ;   657.00;     12.0 ;  200.000;     0.00;  257.660 ;         25 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    6570.00 ;
  12 ; 002 ; 001  ; IGARAPE      ; S1     ;    13  ;   0   ;   0    ;     0.00;     0.00;  131.000;   131.00;    50.00;  5  ;  5  ;0  ;     0.00;    -12.0 ;  253.430;     0.00;  257.660 ;         25 ;      -0.66 ; Sem geracao                  ; 1000000.00 ; 1000000.00 ;   0 ;    1310.00 ;
  12 ; 003 ; 001  ; ST.CRUZ 12   ; S1     ;     2  ;   0   ;   0    ;     0.00;     0.00;   84.000;    84.00;    50.00;  5  ;  5  ;1  ;    84.00;     22.0 ;  210.000;     0.00;  257.660 ;         25 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;     840.00 ;
  12 ; 050 ; 001  ; PIRAT.12 G   ; S1     ;     3  ;   0   ;   0    ;     0.00;     0.00;  200.000;   200.00;    50.00;  5  ;  5  ;1  ;   200.00;     12.0 ;  205.340;     0.00;  257.660 ;         24 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    2000.00 ;
  12 ; 004 ; 001  ; ST.CRUZ 34   ; S2     ;    14  ;   0   ;   0    ;     0.00;     0.00;  220.000;   220.00;    50.00;  5  ;  5  ;1  ;   220.00;     22.0 ;  210.410;     0.00;  238.640 ;         28 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    2200.00 ;
  13 ; 001 ; 001  ; ANGRA 1      ; S1     ;     1  ;   0   ;   0    ;     0.00;     0.00;  657.000;   657.00;   500.00; 13  ;  5  ;1  ;   500.00;     13.0 ;  370.000;     0.00;  225.500 ;         22 ;      72.40 ;UC:  Rampa de desligamento    ; 1000000.00 ; 1000000.00 ;   0 ;    6570.00 ;
  13 ; 002 ; 001  ; IGARAPE      ; S1     ;    13  ;   0   ;   0    ;     0.00;     0.00;  131.000;   131.00;    50.00;  5  ;  5  ;0  ;     0.00;    -13.0 ;  253.430;     0.00;  225.500 ;         22 ;       0.00 ; Sem geracao                  ; 1000000.00 ; 1000000.00 ;   0 ;    1310.00 ;
