***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


 Problemas no Tratamento da Soleria do Desvio                                                       

------;------;------;-------;------;--------------;----------;----------;---;-------;-------------;-----------;-------------------;------------;
 IPER ; ITER ; IDES ;  Pat  ; USIH ;     Nome     ;  Vdisp.  ;  VolSol. ;Reg;   Tratamento PL    ;;   Vert    ;     Problema      ; Delta Vdisp;
   -  ;   -  ;   -  ;   -   ;   -  ;      -       ; ( Total  -   hm3 )  ;   ;Status ;Vertmax(hm3);;   (m3/s)  ;         -         ;   (hm3)    ;
------;------;------;-------;------;--------------;----------;----------;---;-------;-------------;-----------;-------------------;------------;
   6  ;   1  ;  S   ;LEVE   ;  33  ; SAO SIMAO    ; 11733.04 ;  7000.00 ; M ; LIBER ;     4726.27 ;      0.00 ;                   ;     -15.82 ;
   7  ;   1  ;  S   ;LEVE   ;   6  ; FURNAS       ;  7502.35 ;  6173.76 ; M ; LIBER ;     1330.80 ;      0.00 ;                   ;       2.20 ;
   7  ;   1  ;  S   ;LEVE   ;   7  ; M. DE MORAES ;  1768.61 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;      25.15 ;
   7  ;   1  ;  S   ;LEVE   ;  14  ; CACONDE      ;   305.14 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       0.00 ;
   7  ;   1  ;  S   ;LEVE   ;  24  ; EMBORCACAO   ; 11669.40 ; 10626.45 ; M ; LIBER ;     1044.42 ;      0.00 ;                   ;       1.46 ;
   7  ;   1  ;  S   ;LEVE   ;  25  ; NOVA PONTE   ; 10039.81 ;  5500.05 ; M ; LIBER ;     4543.29 ;      0.00 ;                   ;       3.53 ;
   7  ;   1  ;  S   ;LEVE   ;  26  ; MIRANDA      ;  1120.61 ;   975.00 ; M ; LIBER ;      149.04 ;      0.00 ;                   ;       1.36 ;
   7  ;   1  ;  S   ;LEVE   ;  30  ; CORUMBA I    ;  1132.93 ;   739.04 ; M ; LIBER ;      395.49 ;      0.00 ;                   ;       1.60 ;
   7  ;   1  ;  S   ;LEVE   ;  31  ; ITUMBIARA    ; 11312.44 ;  6915.60 ; M ; LIBER ;     4414.46 ;      0.00 ;                   ;       9.37 ;
   7  ;   1  ;  S   ;LEVE   ;  33  ; SAO SIMAO    ; 11739.41 ;  7000.00 ; M ; LIBER ;     4730.41 ;      0.00 ;                   ;     -18.05 ;
   8  ;   1  ;  S   ;LEVE   ;   6  ; FURNAS       ;  7506.64 ;  6173.76 ; M ; LIBER ;     1335.46 ;      0.00 ;                   ;       2.57 ;
   8  ;   1  ;  S   ;LEVE   ;   7  ; M. DE MORAES ;  1765.55 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;      28.74 ;
   8  ;   1  ;  S   ;LEVE   ;  14  ; CACONDE      ;   305.45 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       0.00 ;
   8  ;   1  ;  S   ;LEVE   ;  24  ; EMBORCACAO   ; 11671.42 ; 10626.45 ; M ; LIBER ;     1046.83 ;      0.00 ;                   ;       1.86 ;
   8  ;   1  ;  S   ;LEVE   ;  25  ; NOVA PONTE   ; 10040.40 ;  5500.05 ; M ; LIBER ;     4545.07 ;      0.00 ;                   ;       4.72 ;
   8  ;   1  ;  S   ;LEVE   ;  26  ; MIRANDA      ;  1118.70 ;   975.00 ; M ; LIBER ;      149.32 ;      0.00 ;                   ;       3.55 ;
   8  ;   1  ;  S   ;LEVE   ;  30  ; CORUMBA I    ;  1135.04 ;   739.04 ; M ; LIBER ;      397.87 ;      0.00 ;                   ;       1.86 ;
   8  ;   1  ;  S   ;LEVE   ;  31  ; ITUMBIARA    ; 11310.59 ;  6915.60 ; M ; LIBER ;     4416.06 ;      0.00 ;                   ;      12.81 ;
   8  ;   1  ;  S   ;LEVE   ;  33  ; SAO SIMAO    ; 11746.48 ;  7000.00 ; M ; LIBER ;     4734.55 ;      0.00 ;                   ;     -20.98 ;
   9  ;   1  ;  S   ;MEDIA  ;   6  ; FURNAS       ;  7510.94 ;  6173.76 ; M ; LIBER ;     1340.12 ;      0.00 ;                   ;       2.94 ;
   9  ;   1  ;  S   ;MEDIA  ;   7  ; M. DE MORAES ;  1762.49 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;      32.34 ;
   9  ;   1  ;  S   ;MEDIA  ;  14  ; CACONDE      ;   305.75 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       0.00 ;
   9  ;   1  ;  S   ;MEDIA  ;  24  ; EMBORCACAO   ; 11673.65 ; 10626.45 ; M ; LIBER ;     1049.25 ;      0.00 ;                   ;       2.05 ;
   9  ;   1  ;  S   ;MEDIA  ;  25  ; NOVA PONTE   ; 10042.03 ;  5500.05 ; M ; LIBER ;     4546.84 ;      0.00 ;                   ;       4.87 ;
   9  ;   1  ;  S   ;MEDIA  ;  26  ; MIRANDA      ;  1118.97 ;   975.00 ; M ; LIBER ;      149.60 ;      0.00 ;                   ;       3.55 ;
   9  ;   1  ;  S   ;MEDIA  ;  30  ; CORUMBA I    ;  1137.16 ;   739.04 ; M ; LIBER ;      400.25 ;      0.00 ;                   ;       2.13 ;
   9  ;   1  ;  S   ;MEDIA  ;  31  ; ITUMBIARA    ; 11308.05 ;  6915.60 ; M ; LIBER ;     4417.66 ;      0.00 ;                   ;      16.95 ;
   9  ;   1  ;  S   ;MEDIA  ;  33  ; SAO SIMAO    ; 11753.52 ;  7000.00 ; M ; LIBER ;     4738.69 ;      0.00 ;                   ;     -23.88 ;
  10  ;   1  ;  S   ;MEDIA  ;   6  ; FURNAS       ;  7515.23 ;  6173.76 ; M ; LIBER ;     1344.78 ;      0.00 ;                   ;       3.30 ;
  10  ;   1  ;  S   ;MEDIA  ;   7  ; M. DE MORAES ;  1759.44 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;      35.93 ;
  10  ;   1  ;  S   ;MEDIA  ;  14  ; CACONDE      ;   306.06 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       0.00 ;
  10  ;   1  ;  S   ;MEDIA  ;  24  ; EMBORCACAO   ; 11675.89 ; 10626.45 ; M ; LIBER ;     1051.66 ;      0.00 ;                   ;       2.23 ;
  10  ;   1  ;  S   ;MEDIA  ;  25  ; NOVA PONTE   ; 10043.66 ;  5500.05 ; M ; LIBER ;     4548.62 ;      0.00 ;                   ;       5.01 ;
  10  ;   1  ;  S   ;MEDIA  ;  26  ; MIRANDA      ;  1120.24 ;   975.00 ; M ; LIBER ;      149.88 ;      0.00 ;                   ;       2.57 ;
  10  ;   1  ;  S   ;MEDIA  ;  30  ; CORUMBA I    ;  1139.27 ;   739.04 ; M ; LIBER ;      402.63 ;      0.00 ;                   ;       2.40 ;
  10  ;   1  ;  S   ;MEDIA  ;  31  ; ITUMBIARA    ; 11306.47 ;  6915.60 ; M ; LIBER ;     4419.26 ;      0.00 ;                   ;      20.13 ;
  10  ;   1  ;  S   ;MEDIA  ;  33  ; SAO SIMAO    ; 11761.30 ;  7000.00 ; M ; LIBER ;     4742.83 ;      0.00 ;                   ;     -27.52 ;
  11  ;   1  ;  S   ;MEDIA  ;   6  ; FURNAS       ;  7519.53 ;  6173.76 ; M ; LIBER ;     1349.44 ;      0.00 ;                   ;       3.67 ;
  11  ;   1  ;  S   ;MEDIA  ;   7  ; M. DE MORAES ;  1756.38 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;      39.52 ;
  11  ;   1  ;  S   ;MEDIA  ;  14  ; CACONDE      ;   306.37 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       0.00 ;
  11  ;   1  ;  S   ;MEDIA  ;  24  ; EMBORCACAO   ; 11678.12 ; 10626.45 ; M ; LIBER ;     1054.08 ;      0.00 ;                   ;       2.41 ;
  11  ;   1  ;  S   ;MEDIA  ;  25  ; NOVA PONTE   ; 10044.30 ;  5500.05 ; M ; LIBER ;     4550.39 ;      0.00 ;                   ;       6.14 ;
  11  ;   1  ;  S   ;MEDIA  ;  26  ; MIRANDA      ;  1120.17 ;   975.00 ; M ; LIBER ;      150.16 ;      0.00 ;                   ;       2.92 ;
  11  ;   1  ;  S   ;MEDIA  ;  30  ; CORUMBA I    ;  1141.38 ;   739.04 ; M ; LIBER ;      405.01 ;      0.00 ;                   ;       2.66 ;
  11  ;   1  ;  S   ;MEDIA  ;  31  ; ITUMBIARA    ; 11303.81 ;  6915.60 ; M ; LIBER ;     4420.85 ;      0.00 ;                   ;      24.38 ;
  11  ;   1  ;  S   ;MEDIA  ;  33  ; SAO SIMAO    ; 11769.83 ;  7000.00 ; M ; LIBER ;     4746.97 ;      0.00 ;                   ;     -31.91 ;
  12  ;   1  ;  S   ;MEDIA  ;   6  ; FURNAS       ;  7523.82 ;  6173.76 ; M ; LIBER ;     1354.11 ;      0.00 ;                   ;       4.04 ;
  12  ;   1  ;  S   ;MEDIA  ;   7  ; M. DE MORAES ;  1753.31 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;      43.12 ;
  12  ;   1  ;  S   ;MEDIA  ;  14  ; CACONDE      ;   306.34 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       0.33 ;
  12  ;   1  ;  S   ;MEDIA  ;  24  ; EMBORCACAO   ; 11680.35 ; 10626.45 ; M ; LIBER ;     1056.49 ;      0.00 ;                   ;       2.60 ;
  12  ;   1  ;  S   ;MEDIA  ;  25  ; NOVA PONTE   ; 10045.93 ;  5500.05 ; M ; LIBER ;     4552.17 ;      0.00 ;                   ;       6.29 ;
  12  ;   1  ;  S   ;MEDIA  ;  26  ; MIRANDA      ;  1122.09 ;   975.00 ; M ; LIBER ;      150.44 ;      0.00 ;                   ;       1.28 ;
