***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________



CUSTO MARGINAL DE OPERACAO  ($/MWh) / barra / hora

------;-------;-------;-------------;-------;-------------;
 IPER ; Pat   ; BAR   ; Nome        ; Sist  ;    Cmarg    ;
------;-------;-------;-------------;-------;-------------;
   6  ; LEVE  ;     4 ;    BARRA04  ;  S1   ;      225.38 ;
   6  ; LEVE  ;     5 ;    BARRA05  ;  S1   ;      225.51 ;
   6  ; LEVE  ;     6 ;    BARRA06  ;  S1   ;      225.70 ;
   6  ; LEVE  ;     7 ;    BARRA07  ;  S1   ;      225.67 ;
   6  ; LEVE  ;     8 ;    BARRA08  ;  S1   ;      225.67 ;
   6  ; LEVE  ;     9 ;    BARRA09  ;  S1   ;      225.50 ;
   6  ; LEVE  ;    10 ;    BARRA10  ;  S1   ;      225.85 ;
   6  ; LEVE  ;    11 ;    BARRA11  ;  S1   ;      225.96 ;
   6  ; LEVE  ;    12 ;    BARRA12  ;  S1   ;      226.36 ;
   6  ; LEVE  ;    13 ;    BARRA13  ;  S1   ;      226.49 ;
   6  ; LEVE  ;    14 ;    BARRA14  ;  S2   ;      225.77 ;
   6  ; LEVE  ;    15 ;    BARRA15  ;  S2   ;      220.49 ;
   6  ; LEVE  ;    16 ;    BARRA16  ;  S2   ;      225.60 ;
   6  ; LEVE  ;    17 ;    BARRA17  ;  S2   ;      219.78 ;
   6  ; LEVE  ;    18 ;    BARRA18  ;  S2   ;      219.96 ;
   6  ; LEVE  ;    19 ;    BARRA19  ;  S2   ;      228.53 ;
   6  ; LEVE  ;    20 ;    BARRA20  ;  S2   ;      227.98 ;
   6  ; LEVE  ;    21 ;    BARRA21  ;  S2   ;      220.13 ;
   6  ; LEVE  ;    22 ;    BARRA22  ;  S2   ;      219.99 ;
   6  ; LEVE  ;    23 ;    BARRA23  ;  S2   ;      227.68 ;
   6  ; LEVE  ;    24 ;    BARRA24  ;  S2   ;      221.69 ;
   7  ; LEVE  ;     1 ;    BARRA01  ;  S1   ;      225.19 ;
   7  ; LEVE  ;     2 ;    BARRA02  ;  S1   ;      225.24 ;
   7  ; LEVE  ;     3 ;    BARRA03  ;  S1   ;      223.63 ;
   7  ; LEVE  ;     4 ;    BARRA04  ;  S1   ;      225.38 ;
   7  ; LEVE  ;     5 ;    BARRA05  ;  S1   ;      225.51 ;
   7  ; LEVE  ;     6 ;    BARRA06  ;  S1   ;      225.70 ;
   7  ; LEVE  ;     7 ;    BARRA07  ;  S1   ;      225.67 ;
   7  ; LEVE  ;     8 ;    BARRA08  ;  S1   ;      225.67 ;
   7  ; LEVE  ;     9 ;    BARRA09  ;  S1   ;      225.50 ;
   7  ; LEVE  ;    10 ;    BARRA10  ;  S1   ;      225.85 ;
   7  ; LEVE  ;    11 ;    BARRA11  ;  S1   ;      225.96 ;
   7  ; LEVE  ;    12 ;    BARRA12  ;  S1   ;      226.36 ;
   7  ; LEVE  ;    13 ;    BARRA13  ;  S1   ;      226.49 ;
   7  ; LEVE  ;    14 ;    BARRA14  ;  S2   ;      225.77 ;
   7  ; LEVE  ;    15 ;    BARRA15  ;  S2   ;      220.49 ;
   7  ; LEVE  ;    16 ;    BARRA16  ;  S2   ;      225.60 ;
   7  ; LEVE  ;    17 ;    BARRA17  ;  S2   ;      219.78 ;
   7  ; LEVE  ;    18 ;    BARRA18  ;  S2   ;      219.96 ;
   7  ; LEVE  ;    19 ;    BARRA19  ;  S2   ;      228.53 ;
   7  ; LEVE  ;    20 ;    BARRA20  ;  S2   ;      227.98 ;
   7  ; LEVE  ;    21 ;    BARRA21  ;  S2   ;      220.13 ;
   7  ; LEVE  ;    22 ;    BARRA22  ;  S2   ;      219.99 ;
   7  ; LEVE  ;    23 ;    BARRA23  ;  S2   ;      227.68 ;
   7  ; LEVE  ;    24 ;    BARRA24  ;  S2   ;      221.69 ;
   8  ; LEVE  ;     1 ;    BARRA01  ;  S1   ;      219.97 ;
   8  ; LEVE  ;     2 ;    BARRA02  ;  S1   ;      219.97 ;
   8  ; LEVE  ;     3 ;    BARRA03  ;  S1   ;      219.97 ;
   8  ; LEVE  ;     4 ;    BARRA04  ;  S1   ;      219.97 ;
   8  ; LEVE  ;     5 ;    BARRA05  ;  S1   ;      219.97 ;
   8  ; LEVE  ;     6 ;    BARRA06  ;  S1   ;      219.97 ;
   8  ; LEVE  ;     7 ;    BARRA07  ;  S1   ;      219.97 ;
   8  ; LEVE  ;     8 ;    BARRA08  ;  S1   ;      219.97 ;
   8  ; LEVE  ;     9 ;    BARRA09  ;  S1   ;      219.97 ;
   8  ; LEVE  ;    10 ;    BARRA10  ;  S1   ;      219.97 ;
