NUM     NOME      itp   DI HI M DF HF M      VAZAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
252 CANA BRAVA     1    28      F                  10
252 CANA BRAVA     1    29      F                  19
253 SAO SALVADOR   1    28      F                  10
253 SAO SALVADOR   1    29      F                  18
267 ESTREITO TOC   1    28      F                 533
267 ESTREITO TOC   1    29      F                 479
281 PONTE PEDRA    1    28      F                  69
281 PONTE PEDRA    1    29      F                  72
 86 BARRA GRANDE   1    28      F                 151
 86 BARRA GRANDE   1    29      F                 199
 90 CAMPOS NOVOS   1    28      F                  54
 90 CAMPOS NOVOS   1    29      F                  72
 97 CASTRO ALVES   1    28      F                  61
 97 CASTRO ALVES   1    29      F                 149
 98 MONTE CLARO    1    28      F                  49
 98 MONTE CLARO    1    29      F                 126
 99 14 DE JULHO    1    28      F                  10
 99 14 DE JULHO    1    29      F                   9
103 FOZ CHAPECO    1    28      F                  93
103 FOZ CHAPECO    1    29      F                 240
169 SOBRADINHO     1    28      F                  96
169 SOBRADINHO     1    29      F                 245
172 ITAPARICA      1    28      F                   1
172 ITAPARICA      1    29      F                   0
173 MOXOTO         1    28      F                   1
173 MOXOTO         1    29      F                   0
174 P.AFONSO 123   1    28      F                   1
174 P.AFONSO 123   1    29      F                   0
175 P.AFONSO 4     1    28      F                   1
175 P.AFONSO 4     1    29      F                   0
178 XINGO          1    28      F                   1
178 XINGO          1    29      F                   0
190 B. ESPERANCA   1    28      F                 193
190 B. ESPERANCA   1    29      F                 184
189 P. CAVALO      1    28      F                   3
189 P. CAVALO      1    29      F                  32
275 TUCURUI        1    28      F                1813
275 TUCURUI        1    29      F                1969
272 CURUA-UNA      1    28      F                 214
272 CURUA-UNA      1    29      F                 171
279 SAMUEL         1    28      F                 123
279 SAMUEL         1    29      F                 134
280 COARACY NUNE   1    28      F                   4
280 COARACY NUNE   1    29      F                   3
204 CACH.CALDEIR   1    28      F                1520
204 CACH.CALDEIR   1    29      F                1275
127 SOBRAGI        1    28      F                  14
127 SOBRAGI        1    29      F                  24
126 PICADA         1    28      F                  16
126 PICADA         1    29      F                  18
283 STA CLARA MG   1    28      F                   8
283 STA CLARA MG   1    29      F                   8
261 LAJEADO        1    28      F                  79
261 LAJEADO        1    29      F                 139
 48 PIRAJU         1    28      F                   8
 48 PIRAJU         1    29      F                   9
249 OURINHOS       1    28      F                   6
249 OURINHOS       1    29      F                   8
241 SLT VERDINHO   1    28      F                  11
241 SLT VERDINHO   1    29      F                  11
304 ITIQUIRA I     1    28      F                  60
304 ITIQUIRA I     1    29      F                  61
305 ITIQUIRA II    1    24      F                   0 
196 GUAPORE        1    28      F                  38
196 GUAPORE        1    29      F                  35
195 JAURU          1    28      F                  66
195 JAURU          1    29      F                  72
 95 QUEBRA QUEIX   1    28      F                  65
 95 QUEBRA QUEIX   1    29      F                 112
203 CORUMBA III    1    28      F                   6
203 CORUMBA III    1    29      F                   7
154 ITAPEBI        1    28      F                  13
154 ITAPEBI        1    29      F                  14
 29 CORUMBA IV     1    28      F                  28
 29 CORUMBA IV     1    29      F                  34
 94 MONJOLINHO     1    28      F                  26
 94 MONJOLINHO     1    29      F                  78
215 SALTO PILAO    1    28      F                  57
215 SALTO PILAO    1    29      F                  91
155 RETIRO BAIXO   1    28      F                  34
155 RETIRO BAIXO   1    29      F                  44
311 CACU           1    28      F                 110
311 CACU           1    29      F                 112
312 B. COQUEIROS   1    28      F                   5
312 B. COQUEIROS   1    29      F                   4
310 DARDANELOS     1    28      F                 179
310 DARDANELOS     1    29      F                 180
315 FOZ R. CLARO   1    28      F                   8
315 FOZ R. CLARO   1    29      F                   9
 21 SERRA FACAO    1    28      F                   9
 21 SERRA FACAO    1    29      F                  12
290 ESPORA         1    28      F                  58
290 ESPORA         1    29      F                  61
101 SAO JOSE       1    28      F                 340
101 SAO JOSE       1    29      F                 613
276 RONDON II      1    28      F                  60
276 RONDON II      1    29      F                  69
102 PASSO S JOAO   1    28      F                   0
102 PASSO S JOAO   1    29      F                  27
277 BALBINA        1    28      F                1072
277 BALBINA        1    29      F                 431
285 JIRAU          1    28      F               15650
285 JIRAU          1    29      F               17543
