& ARQUIVO COM RESTRICOES OPERACIONAIS PARA AS UNIDADES TERMICAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
& (NA CONFIGURACAO DO DESSEM)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
&
&
& CONDICOES INICIAIS DAS UNIDADES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
&
INIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
&us     nome       ug   st   GerInic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
&XX XXXXXXXXXXXX   XX   X    XXXXXXXXXX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
 28 FIGUEIRA      1 24  0 0 F                               486.49
 28 FIGUEIRA      2 24  0 0 F                               486.49
 26 J.LAC. A1     1 24  0 0 F                               238.56
 26 J.LAC. A1     2 24  0 0 F                               238.56
 27 J.LAC. A2     1 24  0 0 F                               217.89
 27 J.LAC. A2     2 24  0 0 F                               217.89
 25 J.LACER. B    1 24  0 0 F                               209.48
 25 J.LACER. B    2 24  0 0 F                               209.48
 24 J.LACER. C    1 24  0 0 F                               178.91
 30 NUTEPA        1 24  0 0 F                               780.00
 30 NUTEPA        2 24  0 0 F                               780.00
 30 NUTEPA        3 24  0 0 F                               780.00
 22 P.MEDICI A    1 24  0 0 F                               115.90
 22 P.MEDICI A    2 24  0 0 F                               115.90
 23 P.MEDICI B    1 24  0 0 F                               115.90
 23 P.MEDICI B    2 24  0 0 F                               115.90
 32 S.JERONIMO    1 24  0 0 F                               248.31
 32 S.JERONIMO    2 24  0 0 F                               248.31
 32 S.JERONIMO    3 24  0 0 F                               248.31
 35 URUGUAIANA    1 24  0 0 F                               486.20
 35 URUGUAIANA    2 24  0 0 F                               486.20
 35 URUGUAIANA    3 24  0 0 F                               486.20
109 ALTOS         1 24  0 0 F                               645.65
109 ALTOS         2 24  0 0 F                               645.65
109 ALTOS         3 24  0 0 F                               645.65
109 ALTOS         4 24  0 0 F                               645.65
109 ALTOS         5 24  0 0 F                               645.65
109 ALTOS         6 24  0 0 F                               645.65
109 ALTOS         7 24  0 0 F                               645.65
109 ALTOS         8 24  0 0 F                               645.65
111 ARACATI       1 24  0 0 F                               645.65
111 ARACATI       2 24  0 0 F                               645.65
111 ARACATI       3 24  0 0 F                               645.65
111 ARACATI       4 24  0 0 F                               645.65
111 ARACATI       5 24  0 0 F                               645.65
111 ARACATI       6 24  0 0 F                               645.65
111 ARACATI       7 24  0 0 F                               645.65
112 BAHIA_1       1 24  0 0 F                               512.90
112 BAHIA_1       2 24  0 0 F                               512.90
112 BAHIA_1       3 24  0 0 F                               512.90
113 BATURITE      1 24  0 0 F                               645.65
113 BATURITE      2 24  0 0 F                               645.65
113 BATURITE      3 24  0 0 F                               645.65
113 BATURITE      4 24  0 0 F                               645.65
113 BATURITE      5 24  0 0 F                               645.65
113 BATURITE      6 24  0 0 F                               645.65
113 BATURITE      7 24  0 0 F                               645.65
 93 CAMACARI      1 24  0 0 F                               943.88
 93 CAMACARI      2 24  0 0 F                               943.88
 93 CAMACARI      3 24  0 0 F                               943.88
 93 CAMACARI      4 24  0 0 F                               943.88
 93 CAMACARI      5 24  0 0 F                               943.88
166 AREMBEPE      1 24  0 0 F                               599.12
166 AREMBEPE      2 24  0 0 F                               599.12
166 AREMBEPE      3 24  0 0 F                               599.12
166 AREMBEPE      4 24  0 0 F                               599.12
 52 CAMPINA_GR    1 24  0 0 F                               409.51
 52 CAMPINA_GR    2 24  0 0 F                               409.51
 52 CAMPINA_GR    3 24  0 0 F                               409.51
 52 CAMPINA_GR    4 24  0 0 F                               409.51
117 C.MAIOR       1 24  0 0 F                               645.65
117 C.MAIOR       2 24  0 0 F                               645.65
117 C.MAIOR       3 24  0 0 F                               645.65
117 C.MAIOR       4 24  0 0 F                               645.65
117 C.MAIOR       5 24  0 0 F                               645.65
117 C.MAIOR       6 24  0 0 F                               645.65
117 C.MAIOR       7 24  0 0 F                               645.65
117 C.MAIOR       8 24  0 0 F                               645.65
119 CAUCAIA       1 24  0 0 F                               645.65
119 CAUCAIA       2 24  0 0 F                               645.65
119 CAUCAIA       3 24  0 0 F                               645.65
119 CAUCAIA       4 24  0 0 F                               645.65
119 CAUCAIA       5 24  0 0 F                               645.65
119 CAUCAIA       6 24  0 0 F                               645.65
119 CAUCAIA       7 24  0 0 F                               645.65
119 CAUCAIA       8 24  0 0 F                               645.65
119 CAUCAIA       9 24  0 0 F                               645.65
121 CRATO         1 24  0 0 F                               645.65
121 CRATO         2 24  0 0 F                               645.65
121 CRATO         3 24  0 0 F                               645.65
121 CRATO         4 24  0 0 F                               645.65
