***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________



Dados Relativos as Usinas Hidraulicas:

----;--------;----;--------------;----;-----;-------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;------------;------------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;------------;------------;-----;-----------;-----------;
    ;        ;    ;              ;    ;     ;       ;   Vagua   ;       Vol.Final ;     ;         Qincr        ;;         Qmont        ;;         Qmontv       ;;         Qdesv        ;;         QEvap        ;;      VazUsoAltern      ;;         Qtur         ;;        QturMin       ;;        QturMax       ;;        Engolimento   ;;         Vert         ;;  Geracao  ;    Gmax    ; Capacidade ;     ;  Perdhid  ;  Hqueda   ;
IPER;   Pat  ;USIH;     Nome     ;SIST;CONJ ; Unid  ;   $/MWh   ;    Hm3    ;   %       ;   m3/s    ;    Hm3    ;   m3/s    ;    Hm3    ;    m3/s   ;     Hm3   ;     m3/s  ;      Hm3  ;    m3/s   ;     Hm3   ;  m3/s      ;    Hm3     ;     m3/s  ;      Hm3  ;    m3/s   ;     Hm3   ;   m3/s    ;    Hm3    ;   m3/s    ;    Hm3    ;    m3/s   ;     Hm3/s ;     MW    ;     MW     ;     MW     ; L/D ;     MW    ;     m     ;
----;--------;----;--------------;----;-----;-------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;------------;------------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;------------;------------;-----;-----------;-----------;
  1 ; LEVE   ;  8 ; ESTREITO     ; S1 ;   1 ;    4  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   2028.00 ;      7.30 ;           ;           ;           ;           ;     94.81 ;     -      ;     184.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ;  8 ; ESTREITO     ; S1 ;   1 ;    5  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   2028.00 ;      7.30 ;           ;           ;           ;           ;      0.00 ;     -      ;     184.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ;  8 ; ESTREITO     ; S1 ;   1 ;    6  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   2028.00 ;      7.30 ;           ;           ;           ;           ;      0.00 ;     -      ;     184.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ;  8 ; ESTREITO     ; S1 ;  99 ;   99  ;    226.67 ;     -     ;     -     ;     31.00 ;      0.11 ;   1100.00 ;      3.96 ;      0.00 ;      0.00 ;      0.00 ;      0.00 ;     -     ;     -     ;      0.00  ;      0.00  ;   1131.00 ;      4.07 ;      0.00 ;      0.00 ;   2057.79 ;      7.41 ;   2057.79 ;      7.41 ;      0.00 ;      0.00 ;    646.81 ;    1104.00 ;    1104.00 ;  -  ;      0.00 ;     63.53 ;
  1 ; LEVE   ; 10 ; IGARAPAVA    ; S1 ;   1 ;    1  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   1480.00 ;      5.33 ;           ;           ;           ;           ;     42.00 ;     -      ;      42.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ; 10 ; IGARAPAVA    ; S1 ;   1 ;    2  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   1480.00 ;      5.33 ;           ;           ;           ;           ;     42.00 ;     -      ;      42.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ; 10 ; IGARAPAVA    ; S1 ;   1 ;    3  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   1480.00 ;      5.33 ;           ;           ;           ;           ;     42.00 ;     -      ;      42.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ; 10 ; IGARAPAVA    ; S1 ;   1 ;    4  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   1480.00 ;      5.33 ;           ;           ;           ;           ;     42.00 ;     -      ;      42.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ; 10 ; IGARAPAVA    ; S1 ;   1 ;    5  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   1480.00 ;      5.33 ;           ;           ;           ;           ;     10.03 ;     -      ;      42.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ; 10 ; IGARAPAVA    ; S1 ;  99 ;   99  ;    217.07 ;     -     ;     -     ;     49.00 ;      0.18 ;   1131.00 ;      4.07 ;      0.00 ;      0.00 ;      0.00 ;      0.00 ;     -     ;     -     ;      0.00  ;      0.00  ;   1180.00 ;      4.25 ;      0.00 ;      0.00 ;   1498.77 ;      5.40 ;   1498.77 ;      5.40 ;      0.00 ;      0.00 ;    178.03 ;     210.00 ;     210.00 ;  -  ;      0.00 ;     16.72 ;
