***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________

---------------------------------------------------------
Avaliacao do Engolimento Maximo das Usinas Hidroeletricas                       
---------------------------------------------------------
----------------------------------------------------
IPER:      Indice do periodo.                                                                                                                                                                           
USIH:      Numero de cadastro da usina hidroeletrica                                                                                                                                                    
NomeUsih:  Nome de cadastro da usina hidroeletrica                                                                                                                                                      
Vutil Med: Volume armazenado Util medio                                                                                                                                                                 
Qtur:      Vazao turbinada                                                                                                                                                                              
Qver:      Vazao vertida                                                                                                                                                                                
QturMax:   Vazao turbinada Maxima                                                                                                                                                                       
Engolim:   Engolimento Maximo                                                                                                                                                                           
----------------------------------------------------

-----;-----;--------------;----------;---------;---------;---------;------------;
IPER ;USIH ;   NomeUsih   ;Vutil Med ;  Qtur   ;  Qver   ; QturMax ;  Engolim   ;
  -  ;  -  ;      -       ;   (%)    ; (m3/s)  ; (m3/s)  ; (m3/s)  ;   (m3/s)   ;
-----;-----;--------------;----------;---------;---------;---------;------------;
   8 ; 025 ; NOVA PONTE   ;    73.49 ;    96.01;     0.00;   576.00;     620.01 ;
   8 ; 026 ; MIRANDA      ;    99.91 ;   249.88;     0.00;   675.00;     686.35 ;
   8 ; 030 ; CORUMBA I    ;    63.18 ;   556.01;     0.00;   570.00;     556.37 ;
   8 ; 031 ; ITUMBIARA    ;    54.20 ;   818.35;     0.00;  2940.00;    2866.61 ;
   8 ; 032 ; CACH.DOURADA ;    -     ;   930.35;     0.00;  2513.00;    2563.22 ;
   8 ; 033 ; SAO SIMAO    ;    85.48 ;   450.00;     0.00;  2670.00;    2756.11 ;
   9 ; 006 ; FURNAS       ;    10.31 ;   102.00;     0.00;  1692.00;    1599.50 ;
   9 ; 007 ; M. DE MORAES ;     8.96 ;  1100.00;     0.00;  1328.00;    1140.16 ;
   9 ; 008 ; ESTREITO     ;    -     ;  1131.00;     0.00;  2028.00;    2057.79 ;
   9 ; 010 ; IGARAPAVA    ;    -     ;  1180.00;     0.00;  1480.00;    1498.77 ;
   9 ; 014 ; CACONDE      ;    50.47 ;     8.00;     0.00;    94.00;      91.33 ;
   9 ; 015 ; E. DA CUNHA  ;    -     ;    63.00;     0.00;   148.00;     147.55 ;
   9 ; 016 ; A.S.OLIVEIRA ;    -     ;    65.00;     0.00;   178.00;     185.04 ;
   9 ; 024 ; EMBORCACAO   ;    53.64 ;    51.00;     0.00;  1048.00;    1023.43 ;
   9 ; 025 ; NOVA PONTE   ;    73.51 ;    40.00;     0.00;   576.00;     620.02 ;
   9 ; 026 ; MIRANDA      ;    99.86 ;    81.38;     0.00;   675.00;     687.69 ;
   9 ; 030 ; CORUMBA I    ;    63.21 ;   556.04;     0.00;   570.00;     556.40 ;
   9 ; 031 ; ITUMBIARA    ;    54.21 ;   818.35;     0.00;  2940.00;    2866.66 ;
   9 ; 032 ; CACH.DOURADA ;    -     ;   930.35;     0.00;  2513.00;    2563.22 ;
   9 ; 033 ; SAO SIMAO    ;    85.59 ;   450.00;     0.00;  2670.00;    2756.29 ;
  10 ; 006 ; FURNAS       ;    10.34 ;   102.00;     0.00;  1692.00;    1599.56 ;
  10 ; 007 ; M. DE MORAES ;     8.84 ;  1100.00;     0.00;  1328.00;    1139.82 ;
  10 ; 008 ; ESTREITO     ;    -     ;  1131.00;     0.00;  2028.00;    2057.79 ;
  10 ; 010 ; IGARAPAVA    ;    -     ;  1180.00;     0.00;  1480.00;    1498.77 ;
  10 ; 014 ; CACONDE      ;    50.52 ;     8.00;     0.00;    94.00;      91.33 ;
  10 ; 015 ; E. DA CUNHA  ;    -     ;    63.00;     0.00;   148.00;     147.55 ;
  10 ; 016 ; A.S.OLIVEIRA ;    -     ;    65.00;     0.00;   178.00;     185.04 ;
  10 ; 024 ; EMBORCACAO   ;    53.66 ;    51.00;     0.00;  1048.00;    1023.46 ;
  10 ; 025 ; NOVA PONTE   ;    73.52 ;   284.12;     0.00;   576.00;     619.93 ;
  10 ; 026 ; MIRANDA      ;    99.88 ;   380.60;     0.00;   675.00;     685.40 ;
  10 ; 030 ; CORUMBA I    ;    63.25 ;   556.07;     0.00;   570.00;     556.43 ;
  10 ; 031 ; ITUMBIARA    ;    54.22 ;   924.28;     0.00;  2940.00;    2863.83 ;
  10 ; 032 ; CACH.DOURADA ;    -     ;  1036.28;     0.00;  2513.00;    2560.54 ;
  10 ; 033 ; SAO SIMAO    ;    85.70 ;   450.00;     0.00;  2670.00;    2756.48 ;
  11 ; 006 ; FURNAS       ;    10.36 ;   102.00;     0.00;  1692.00;    1599.63 ;
  11 ; 007 ; M. DE MORAES ;     8.72 ;  1100.00;     0.00;  1328.00;    1139.48 ;
  11 ; 008 ; ESTREITO     ;    -     ;  1131.00;     0.00;  2028.00;    2057.79 ;
  11 ; 010 ; IGARAPAVA    ;    -     ;  1180.00;     0.00;  1480.00;    1498.77 ;
  11 ; 014 ; CACONDE      ;    50.58 ;     8.00;     0.00;    94.00;      91.34 ;
  11 ; 015 ; E. DA CUNHA  ;    -     ;    63.00;     0.00;   148.00;     147.55 ;
  11 ; 016 ; A.S.OLIVEIRA ;    -     ;    65.00;     0.00;   178.00;     185.04 ;
  11 ; 024 ; EMBORCACAO   ;    53.68 ;    51.00;     0.00;  1048.00;    1023.49 ;
  11 ; 025 ; NOVA PONTE   ;    73.53 ;   284.40;     0.00;   576.00;     619.93 ;
  11 ; 026 ; MIRANDA      ;    99.93 ;   304.67;     0.00;   675.00;     685.94 ;
  11 ; 030 ; CORUMBA I    ;    63.29 ;   556.09;     0.00;   570.00;     556.46 ;
  11 ; 031 ; ITUMBIARA    ;    54.24 ;   818.35;     0.00;  2940.00;    2866.77 ;
  11 ; 032 ; CACH.DOURADA ;    -     ;   930.35;     0.00;  2513.00;    2563.22 ;
  11 ; 033 ; SAO SIMAO    ;    85.80 ;   450.00;     0.00;  2670.00;    2756.66 ;
  12 ; 006 ; FURNAS       ;    10.39 ;   131.63;     0.00;  1692.00;    1599.41 ;
  12 ; 007 ; M. DE MORAES ;     8.59 ;  1139.13;     0.00;  1328.00;    1139.13 ;
  12 ; 008 ; ESTREITO     ;    -     ;  1170.13;     0.00;  2028.00;    2057.13 ;
  12 ; 010 ; IGARAPAVA    ;    -     ;  1219.13;     0.00;  1480.00;    1498.39 ;
  12 ; 014 ; CACONDE      ;    50.60 ;    91.17;     0.00;    94.00;      88.66 ;
  12 ; 015 ; E. DA CUNHA  ;    -     ;   146.17;     0.00;   148.00;     145.51 ;
