-----;-----;-----;--------------;------------------;------------------;---------;---------;-------;-----------;------------;------------;---------;---------;------------;------------;---------;---------;---------;---------;---------;---------;------------------;------------------;
IPER ;IPAT ;USIH ;   NomeUsih   ; Situacao Inicio  ;   Situacao Fim   ; VarmMin ; VarmMax ;TpRegul;VarmSolVert; VTotalInic ;VTotalFinal ;  Qver   ;  Vver   ;QVert. max. ;VVert. max. ;  Qinc   ;  Vinc   ; Qmontv  ; Vmontv  ;  Qret   ;  Vret   ; QTurb. max. Mont ; VTurb. max. Mont ;
  -  ;  -  ;  -  ;      -       ;        -         ;        -         ;  (hm3)  ;  (hm3)  ;  (%)  ;   (hm3)   ;   (hm3)    ;   (hm3)    ; (m3/s)  ;  (hm3)  ;    m3/s    ;    hm3     ; (m3/s)  ;  (hm3)  ; (m3/s)  ;  (hm3)  ; (m3/s)  ;  (hm3)  ;       m3/s       ;       hm3        ;
-----;-----;-----;--------------;------------------;------------------;---------;---------;-------;-----------;------------;------------;---------;---------;------------;------------;---------;---------;---------;---------;---------;---------;------------------;------------------;
   2 ;   1 ; 016 ; A.S.OLIVEIRA ;                  ;                  ;    25.00;    25.00;   D   ;     25.00 ;      25.00 ;      25.00 ;     0.00;     0.00;  999999.88 ;  999999.88 ;     2.00;     0.01;     0.00;     0.00;     0.00;     0.00;     148.00       ;       0.53       ;
   2 ;   1 ; 024 ; EMBORCACAO   ;                  ;                  ;  4669.00; 17725.00;   M   ;  10626.45 ;   11656.04 ;   11658.27 ;     0.00;     0.00;  287339.07 ;    1034.42 ;   671.00;     2.42;     0.00;     0.00;     0.00;     0.00;       0.00       ;       0.00       ;
   2 ;   1 ; 025 ; NOVA PONTE   ;                  ;                  ;  2412.00; 12792.00;   M   ;   5500.05 ;   10031.34 ;   10032.56 ;     0.00;     0.00; 1259676.92 ;    4534.84 ;   493.00;     1.77;     0.00;     0.00;     0.00;     0.00;       0.00       ;       0.00       ;
   2 ;   1 ; 026 ; MIRANDA      ;                  ;                  ;   974.00;  1120.00;   M   ;    975.00 ;    1120.00 ;    1119.18 ;     0.00;     0.00;   41009.78 ;     147.64 ;    78.00;     0.28;     0.00;     0.00;     0.00;     0.00;     576.00       ;       2.07       ;
   2 ;   1 ; 030 ; CORUMBA I    ;                  ;                  ;   470.00;  1500.00;   M   ;    739.04 ;    1119.98 ;    1122.10 ;     0.00;     0.00;  107140.66 ;     385.71 ;   661.00;     2.38;     0.00;     0.00;     0.00;     0.00;       0.00       ;       0.00       ;
   2 ;   1 ; 031 ; ITUMBIARA    ;                  ;                  ;  4573.00; 17027.00;   M   ;   6915.60 ;   11310.79 ;   11310.55 ;     0.00;     0.00; 1224068.85 ;    4406.65 ;   444.00;     1.60;     0.00;     0.00;     0.00;     0.00;    2293.00       ;       8.25       ;
   2 ;   1 ; 032 ; CACH.DOURADA ;                  ;                  ;   460.00;   460.00;   D   ;    460.00 ;     460.00 ;     460.00 ;     0.00;     0.00;  999999.88 ;  999999.88 ;   112.00;     0.40;     0.00;     0.00;     0.00;     0.00;    2940.00       ;      10.58       ;
   2 ;   1 ; 033 ; SAO SIMAO    ;                  ;                  ;  7000.00; 12540.00;   M   ;   7000.00 ;   11698.96 ;   11705.83 ;     0.00;     0.00; 1310079.55 ;    4716.29 ;  1150.00;     4.14;     0.00;     0.00;     0.00;     0.00;    2513.00       ;       9.05       ;
   3 ;   1 ; 006 ; FURNAS       ;                  ;                  ;  5733.00; 22950.00;   M   ;   6173.76 ;    7480.51 ;    7484.80 ;     0.00;     0.00;  366871.45 ;    1320.74 ;  1295.00;     4.66;     0.00;     0.00;     0.00;     0.00;       0.00       ;       0.00       ;
   3 ;   1 ; 007 ; M. DE MORAES ;                  ;                  ;  1540.00;  4040.00;   M   ;   1895.00 ;    1783.89 ;    1780.83 ;     0.00;     0.00;       0.00 ;       0.00 ;   149.00;     0.54;     0.00;     0.00;     0.00;     0.00;    1692.00       ;       6.09       ;
   3 ;   1 ; 008 ; ESTREITO     ;                  ;                  ;  1423.00;  1423.00;   D   ;   1423.00 ;    1423.00 ;    1423.00 ;     0.00;     0.00;  999999.88 ;  999999.88 ;    31.00;     0.11;     0.00;     0.00;     0.00;     0.00;    1328.00       ;       4.78       ;
   3 ;   1 ; 010 ; IGARAPAVA    ;                  ;                  ;   480.00;   480.00;   D   ;    480.00 ;     480.00 ;     480.00 ;     0.00;     0.00;  999999.88 ;  999999.88 ;    49.00;     0.18;     0.00;     0.00;     0.00;     0.00;    2028.00       ;       7.30       ;
