-----;-----;-----;--------------;--------;----------;----------;----------;----------;----------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;------------;---------;---------;---------;---------;---------;---------;---------;------------;------------;------------;------------;----------;----------;----------;---------;
IPER ;IPAT ;USIH ;   NomeUsih   ;NomeSist;VutilInic ;VutilInic ;Vutil Fim ;Vutil Fim ;Vutil Max ;  Qinc   ;  Vinc   ;  Qret   ;  Vret   ;  Qevap  ;  Vevap  ;  Qmon   ;  Vmon   ; Qmontv  ; Vmontv  ;  Qtur   ; QturMax ;  Engolim   ;  Vtur   ;  Qver   ;  Vver   ;  Qdes   ;  Vdes   ;  Qbom   ;  Vbom   ;   QEnch    ;   VEnch    ;   TDesc    ;   VDesc    ;   Ghid   ;  Ghmax   ;  Pinst   ;ValorAgua;
  -  ;  -  ;  -  ;      -       ;   -    ;  (hm3)   ;   (%)    ;  (hm3)   ;   (%)    ;  (hm3)   ; (m3/s)  ;  (hm3)  ; (m3/s)  ;  (hm3)  ; (m3/s)  ; (Hm3 )  ; (m3/s)  ;  (hm3)  ; (m3/s)  ;  (hm3)  ; (m3/s)  ; (m3/s)  ;   (m3/s)   ;  (hm3)  ; (m3/s)  ;  (hm3)  ; (m3/s)  ;  (hm3)  ; (m3/s)  ;  (hm3)  ;   (m3/s)   ;   (hm3)    ;    m3/s    ;   (hm3)    ;   (MW)   ;   (MW)   ;   (MW)   ; ($/MWh) ;
-----;-----;-----;--------------;--------;----------;----------;----------;----------;----------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;------------;---------;---------;---------;---------;---------;---------;---------;------------;------------;------------;------------;----------;----------;----------;---------;
   2 ;   1 ; 010 ; IGARAPAVA    ; S1     ;     -    ;     -    ;     -    ;     -    ;     -    ;    49.00;     0.18;     0.00;     0.00;     0.00;     0.00;  1131.00;     4.07;     0.00;     0.00;  1180.00;  1480.00;    1498.77 ;     4.25;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;   178.03 ;   210.00 ;   210.00 ;   213.04;
   2 ;   1 ; 014 ; CACONDE      ; S1     ;   252.31 ;    50.06 ;   252.61 ;    50.12 ;   504.00 ;    85.00;     0.31;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;    94.00;      91.29 ;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;     0.00 ;    80.40 ;    80.40 ;   224.20;
   2 ;   1 ; 015 ; E. DA CUNHA  ; S1     ;     -    ;     -    ;     -    ;     -    ;     -    ;    55.00;     0.20;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;    55.00;   148.00;     147.55 ;     0.20;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;    41.30 ;   108.80 ;   108.80 ;   208.65;
   2 ;   1 ; 016 ; A.S.OLIVEIRA ; S1     ;     -    ;     -    ;     -    ;     -    ;     -    ;     2.00;     0.01;     0.00;     0.00;     0.00;     0.00;    55.00;     0.20;     0.00;     0.00;    57.00;   178.00;     185.04 ;     0.21;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;    12.43 ;    32.00 ;    32.00 ;   216.99;
   2 ;   1 ; 024 ; EMBORCACAO   ; S2     ;  6987.04 ;    53.52 ;  6989.27 ;    53.53 ; 13056.00 ;   671.00;     2.42;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;    51.00;  1048.00;    1023.24 ;     0.18;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;    55.38 ;  1192.00 ;  1192.00 ;   223.31;
   2 ;   1 ; 025 ; NOVA PONTE   ; S2     ;  7619.34 ;    73.40 ;  7620.56 ;    73.42 ; 10380.00 ;   493.00;     1.77;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;   153.02;   576.00;     619.94 ;     0.55;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;   156.93 ;   510.00 ;   510.00 ;   221.46;
   2 ;   1 ; 026 ; MIRANDA      ; S2     ;   146.00 ;   100.00 ;   145.18 ;    99.44 ;   146.00 ;    78.00;     0.28;     0.00;     0.00;     0.00;     0.00;   153.02;     0.55;     0.00;     0.00;   459.02;   675.00;     685.12 ;     1.65;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;   288.98 ;   408.00 ;   408.00 ;   221.92;
   2 ;   1 ; 030 ; CORUMBA I    ; S2     ;   649.98 ;    63.11 ;   652.10 ;    63.31 ;  1030.00 ;   661.00;     2.38;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;    74.00;   570.00;     556.19 ;     0.27;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;    61.01 ;   375.00 ;   375.00 ;   226.55;
   2 ;   1 ; 031 ; ITUMBIARA    ; S2     ;  6737.79 ;    54.10 ;  6737.55 ;    54.10 ; 12454.00 ;   444.00;     1.60;     0.00;     0.00;     0.00;     0.00;   584.02;     2.10;     0.00;     0.00;  1095.08;  2940.00;    2866.29 ;     3.94;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;   738.01 ;  2082.00 ;  2082.00 ;   221.59;
   2 ;   1 ; 032 ; CACH.DOURADA ; S2     ;     -    ;     -    ;     -    ;     -    ;     -    ;   112.00;     0.40;     0.00;     0.00;     0.00;     0.00;  1095.08;     3.94;     0.00;     0.00;  1207.08;  2513.00;    2563.22 ;     4.35;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;   344.02 ;   658.00 ;   658.00 ;   221.71;
