------;--------;------;---------------;-------;-----;-----;------------------------;----------------;
 0004 ; USIH   ;    26; MIRANDA       ; VARM  ;   0 ;   0 ;          -128.5575168  ; (1000$/hm3)    ;
 0004 ; USIH   ;    30; CORUMBA I     ; VARM  ;   0 ;   0 ;           -96.4048389  ; (1000$/hm3)    ;
 0004 ; USIH   ;    31; ITUMBIARA     ; VARM  ;   0 ;   0 ;           -91.8944135  ; (1000$/hm3)    ;
 0004 ; USIH   ;    32; CACH.DOURADA  ; VARM  ;   0 ;   0 ;           -52.4093132  ; (1000$/hm3)    ;
 0004 ; USIH   ;    33; SAO SIMAO     ; VARM  ;   0 ;   0 ;           -37.0577667  ; (1000$/hm3)    ;
 0005 ; RHS    ;     0;      -        ;  RHS  ;   0 ;   0 ;       5980810.6603360  ;  1000$         ;
 0005 ; USIH   ;     6; FURNAS        ; VARM  ;   0 ;   0 ;          -106.4027332  ; (1000$/hm3)    ;
 0005 ; USIH   ;     7; M. DE MORAES  ; VARM  ;   0 ;   0 ;           -61.1005883  ; (1000$/hm3)    ;
 0005 ; USIH   ;     8; ESTREITO      ; VARM  ;   0 ;   0 ;           -41.0053589  ; (1000$/hm3)    ;
 0005 ; USIH   ;    10; IGARAPAVA     ; VARM  ;   0 ;   0 ;            -8.5395984  ; (1000$/hm3)    ;
 0005 ; USIH   ;    14; CACONDE       ; VARM  ;   0 ;   0 ;           -99.4734545  ; (1000$/hm3)    ;
 0005 ; USIH   ;    15; E. DA CUNHA   ; VARM  ;   0 ;   0 ;           -53.3084790  ; (1000$/hm3)    ;
 0005 ; USIH   ;    16; A.S.OLIVEIRA  ; VARM  ;   0 ;   0 ;           -12.0894421  ; (1000$/hm3)    ;
 0005 ; USIH   ;    24; EMBORCACAO    ; VARM  ;   0 ;   0 ;          -155.1998411  ; (1000$/hm3)    ;
 0005 ; USIH   ;    25; NOVA PONTE    ; VARM  ;   0 ;   0 ;          -185.6935772  ; (1000$/hm3)    ;
 0005 ; USIH   ;    26; MIRANDA       ; VARM  ;   0 ;   0 ;          -128.5735187  ; (1000$/hm3)    ;
