***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________



Desvios da funcao de producao das usinas hidroeletricas

------;------;------;------;-------;--------------;--------;----------;----------;------------;-----------;--------;
 IPER ;  USI ; ITER ; IDES ;  Pat  ;     Nome     ;  Varm  ;  Qtur    ;   Vert   ; Ghid(FPHA) ; Ghid(FPH) ; Desvio ;
  -   ;   -  ;   -  ;   -  ;       ;       -      ;   (%)  ; (m3/s)   ;  (m3/s)  ;     (MW)   ;    (MW)   ;   (%)  ;
------;------;------;------;-------;--------------;--------;----------;----------;------------;-----------;--------;
   5  ;  26  ;   1  ;   2  ;LEVE   ; MIRANDA      ; 100.00 ;    42.00 ;     0.00 ;     26.44  ;     26.42 ;   0.09 ;
   5  ;  30  ;   1  ;   2  ;LEVE   ; CORUMBA I    ;  63.41 ;    74.00 ;     0.00 ;     61.66  ;     49.50 ;  24.56 ;
   5  ;  31  ;   1  ;   2  ;LEVE   ; ITUMBIARA    ;  54.09 ;   719.84 ;     0.00 ;    485.12  ;    485.25 ;  -0.03 ;
   5  ;  32  ;   1  ;   2  ;LEVE   ; CACH.DOURADA ;    -   ;   831.84 ;     0.00 ;    245.55  ;    241.71 ;   1.59 ;
   5  ;  33  ;   1  ;   2  ;LEVE   ; SAO SIMAO    ;  84.99 ;   450.00 ;     0.00 ;    307.22  ;    306.72 ;   0.16 ;
   6  ;   6  ;   1  ;   2  ;LEVE   ; FURNAS       ;  10.17 ;   102.00 ;     0.00 ;     71.60  ;     70.75 ;   1.20 ;
   6  ;   7  ;   1  ;   2  ;LEVE   ; M. DE MORAES ;   9.63 ;  1100.00 ;     0.00 ;    293.53  ;    292.56 ;   0.33 ;
   6  ;   8  ;   1  ;   2  ;LEVE   ; ESTREITO     ;    -   ;  1131.00 ;     0.00 ;    646.81  ;    634.42 ;   1.95 ;
   6  ;  10  ;   1  ;   2  ;LEVE   ; IGARAPAVA    ;    -   ;  1180.00 ;     0.00 ;    178.03  ;    178.09 ;  -0.03 ;
   6  ;  14  ;   1  ;   2  ;LEVE   ; CACONDE      ;  50.18 ;     0.00 ;     0.00 ;      0.00  ;      0.00 ;   0.00 ;
   6  ;  15  ;   1  ;   2  ;LEVE   ; E. DA CUNHA  ;    -   ;    55.00 ;     0.00 ;     41.30  ;     40.26 ;   2.58 ;
   6  ;  16  ;   1  ;   2  ;LEVE   ; A.S.OLIVEIRA ;    -   ;    57.00 ;     0.00 ;     12.43  ;     12.42 ;   0.09 ;
   6  ;  24  ;   1  ;   2  ;LEVE   ; EMBORCACAO   ;  53.55 ;   110.41 ;     0.00 ;    119.90  ;    119.55 ;   0.29 ;
   6  ;  25  ;   1  ;   2  ;LEVE   ; NOVA PONTE   ;  73.43 ;   330.77 ;     0.00 ;    339.21  ;    338.21 ;   0.30 ;
   6  ;  26  ;   1  ;   2  ;LEVE   ; MIRANDA      ;  99.70 ;   648.07 ;     0.00 ;    408.00  ;    402.44 ;   1.38 ;
   6  ;  30  ;   1  ;   2  ;LEVE   ; CORUMBA I    ;  63.52 ;    74.00 ;     0.00 ;     61.87  ;     49.53 ;  24.92 ;
   6  ;  31  ;   1  ;   2  ;LEVE   ; ITUMBIARA    ;  54.09 ;  1122.82 ;     0.00 ;    756.70  ;    751.28 ;   0.72 ;
   6  ;  32  ;   1  ;   2  ;LEVE   ; CACH.DOURADA ;    -   ;  1234.82 ;     0.00 ;    351.44  ;    351.80 ;  -0.10 ;
   6  ;  33  ;   1  ;   2  ;LEVE   ; SAO SIMAO    ;  85.05 ;   615.61 ;     0.00 ;    420.28  ;    419.25 ;   0.25 ;
   7  ;   6  ;   1  ;   2  ;LEVE   ; FURNAS       ;  10.19 ;   102.00 ;     0.00 ;     71.63  ;     70.76 ;   1.23 ;
   7  ;   7  ;   1  ;   2  ;LEVE   ; M. DE MORAES ;   9.57 ;  1100.00 ;     0.00 ;    293.53  ;    292.39 ;   0.39 ;
   7  ;   8  ;   1  ;   2  ;LEVE   ; ESTREITO     ;    -   ;  1131.00 ;     0.00 ;    646.81  ;    634.42 ;   1.95 ;
   7  ;  10  ;   1  ;   2  ;LEVE   ; IGARAPAVA    ;    -   ;  1180.00 ;     0.00 ;    178.03  ;    178.09 ;  -0.03 ;
   7  ;  14  ;   1  ;   2  ;LEVE   ; CACONDE      ;  50.21 ;     0.00 ;     0.00 ;      0.00  ;      0.00 ;   0.00 ;
   7  ;  15  ;   1  ;   2  ;LEVE   ; E. DA CUNHA  ;    -   ;    55.00 ;     0.00 ;     41.30  ;     40.26 ;   2.58 ;
   7  ;  16  ;   1  ;   2  ;LEVE   ; A.S.OLIVEIRA ;    -   ;    57.00 ;     0.00 ;     12.43  ;     12.42 ;   0.09 ;
   7  ;  24  ;   1  ;   2  ;LEVE   ; EMBORCACAO   ;  53.56 ;   110.40 ;     0.00 ;    119.89  ;    119.55 ;   0.29 ;
   7  ;  25  ;   1  ;   2  ;LEVE   ; NOVA PONTE   ;  73.44 ;   330.55 ;     0.00 ;    338.99  ;    338.00 ;   0.29 ;
   7  ;  26  ;   1  ;   2  ;LEVE   ; MIRANDA      ;  99.41 ;   648.07 ;     0.00 ;    408.00  ;    402.34 ;   1.41 ;
   7  ;  30  ;   1  ;   2  ;LEVE   ; CORUMBA I    ;  63.62 ;    74.00 ;     0.00 ;     62.09  ;     49.56 ;  25.29 ;
   7  ;  31  ;   1  ;   2  ;LEVE   ; ITUMBIARA    ;  54.09 ;  1122.82 ;     0.00 ;    756.70  ;    751.29 ;   0.72 ;
